Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10
0	2	3	0.707	0	1.28	0.6	1.1	0.9	0.027
1	3.261	3	0.707	0	1.28	0.6	1.1	0.9	0.028
2	4.693	3	0.707	0	1.28	0.6	1.1	0.9	0.033
3	5.79	3	0.707	0	1.28	0.6	1.1	0.9	0.036
4	6.097	3	0.707	0	1.28	0.6	1.1	0.9	0.044
5	6.152	3	0.707	0	1.28	0.6	1.1	0.9	0.071
6	6.299	3	0.707	0	1.28	0.6	1.1	0.9	0.1
7	6.361	3	0.707	0	1.28	0.6	1.1	0.9	0.214
8	6.4	3	0.707	0	1.28	0.6	1.1	0.9	0.482
9	6.434	3	0.707	0	1.28	0.6	1.1	0.9	1.105
10	6.454	3	0.707	0	1.28	0.6	1.1	0.9	2.427
11	6.459	3	0.707	0	1.28	0.6	1.1	0.9	4.725
12	6.463	3	0.707	0	1.28	0.6	1.1	0.9	9.442
13	6.461	3	0.707	0	1.28	0.6	1.1	0.9	13.705
14	6.461	3	0.707	0	1.28	0.6	1.1	0.9	27.67
15	6.463	3	0.707	0	1.28	0.6	1.1	0.9	41.907
16	6.463	3	0.707	0	1.28	0.6	1.1	0.9	42.723
17	6.467	3	0.707	0	1.28	0.6	1.1	0.9	42.423
18	6.466	3	0.707	0	1.28	0.6	1.1	0.9	42.593
19	6.466	3	0.707	0	1.28	0.6	1.1	0.9	41.314
20	6.466	3	0.707	0	1.28	0.6	1.1	0.9	41.21
0	1.837	3	0.707	0.4	1.28	0.6	1.1	0.9	0.024
1	3.42	3	0.707	0.4	1.28	0.6	1.1	0.9	0.022
2	5.134	3	0.707	0.4	1.28	0.6	1.1	0.9	0.023
3	7.439	3	0.707	0.4	1.28	0.6	1.1	0.9	0.037
4	8.698	3	0.707	0.4	1.28	0.6	1.1	0.9	0.036
5	9.508	3	0.707	0.4	1.28	0.6	1.1	0.9	0.057
6	9.71	3	0.707	0.4	1.28	0.6	1.1	0.9	0.127
7	9.85	3	0.707	0.4	1.28	0.6	1.1	0.9	0.217
8	9.862	3	0.707	0.4	1.28	0.6	1.1	0.9	0.504
9	9.96	3	0.707	0.4	1.28	0.6	1.1	0.9	1.107
10	9.936	3	0.707	0.4	1.28	0.6	1.1	0.9	2.563
11	9.992	3	0.707	0.4	1.28	0.6	1.1	0.9	4.829
12	10.025	3	0.707	0.4	1.28	0.6	1.1	0.9	9.78
13	10.007	3	0.707	0.4	1.28	0.6	1.1	0.9	13.834
14	10.031	3	0.707	0.4	1.28	0.6	1.1	0.9	27.931
15	10.032	3	0.707	0.4	1.28	0.6	1.1	0.9	42.745
16	10.034	3	0.707	0.4	1.28	0.6	1.1	0.9	42.746
17	10.036	3	0.707	0.4	1.28	0.6	1.1	0.9	42.101
18	10.052	3	0.707	0.4	1.28	0.6	1.1	0.9	43.447
19	10.043	3	0.707	0.4	1.28	0.6	1.1	0.9	43.481
20	10.042	3	0.707	0.4	1.28	0.6	1.1	0.9	42.529
0	1.561	3	0.707	0.8	1.28	0.6	1.1	0.9	0.023
1	2.856	3	0.707	0.8	1.28	0.6	1.1	0.9	0.022
2	4.718	3	0.707	0.8	1.28	0.6	1.1	0.9	0.031
3	6.71	3	0.707	0.8	1.28	0.6	1.1	0.9	0.033
4	8.022	3	0.707	0.8	1.28	0.6	1.1	0.9	0.042
5	8.733	3	0.707	0.8	1.28	0.6	1.1	0.9	0.057
6	9.036	3	0.707	0.8	1.28	0.6	1.1	0.9	0.11
7	9.295	3	0.707	0.8	1.28	0.6	1.1	0.9	0.244
8	9.469	3	0.707	0.8	1.28	0.6	1.1	0.9	0.51
9	9.623	3	0.707	0.8	1.28	0.6	1.1	0.9	1.255
10	9.72	3	0.707	0.8	1.28	0.6	1.1	0.9	2.301
11	9.843	3	0.707	0.8	1.28	0.6	1.1	0.9	4.688
12	9.858	3	0.707	0.8	1.28	0.6	1.1	0.9	9.521
13	9.895	3	0.707	0.8	1.28	0.6	1.1	0.9	13.757
14	9.9	3	0.707	0.8	1.28	0.6	1.1	0.9	29.428
15	9.906	3	0.707	0.8	1.28	0.6	1.1	0.9	44.316
16	9.921	3	0.707	0.8	1.28	0.6	1.1	0.9	40.998
17	9.912	3	0.707	0.8	1.28	0.6	1.1	0.9	42.717
18	9.917	3	0.707	0.8	1.28	0.6	1.1	0.9	42.68
19	9.916	3	0.707	0.8	1.28	0.6	1.1	0.9	39.932
20	9.917	3	0.707	0.8	1.28	0.6	1.1	0.9	41.815
0	1.363	3	0.707	1.2	1.28	0.6	1.1	0.9	0.032
1	3.01	3	0.707	1.2	1.28	0.6	1.1	0.9	0.023
2	4.202	3	0.707	1.2	1.28	0.6	1.1	0.9	0.023
3	5.221	3	0.707	1.2	1.28	0.6	1.1	0.9	0.028
4	5.927	3	0.707	1.2	1.28	0.6	1.1	0.9	0.043
5	6.512	3	0.707	1.2	1.28	0.6	1.1	0.9	0.066
6	6.649	3	0.707	1.2	1.28	0.6	1.1	0.9	0.156
7	6.81	3	0.707	1.2	1.28	0.6	1.1	0.9	0.227
8	6.907	3	0.707	1.2	1.28	0.6	1.1	0.9	0.537
9	6.977	3	0.707	1.2	1.28	0.6	1.1	0.9	1.101
10	7.024	3	0.707	1.2	1.28	0.6	1.1	0.9	2.282
11	7.052	3	0.707	1.2	1.28	0.6	1.1	0.9	4.753
12	7.073	3	0.707	1.2	1.28	0.6	1.1	0.9	9.815
13	7.084	3	0.707	1.2	1.28	0.6	1.1	0.9	14.074
14	7.1	3	0.707	1.2	1.28	0.6	1.1	0.9	28.097
15	7.091	3	0.707	1.2	1.28	0.6	1.1	0.9	43.101
16	7.093	3	0.707	1.2	1.28	0.6	1.1	0.9	42.234
17	7.094	3	0.707	1.2	1.28	0.6	1.1	0.9	43.755
18	7.094	3	0.707	1.2	1.28	0.6	1.1	0.9	42.541
19	7.097	3	0.707	1.2	1.28	0.6	1.1	0.9	42.98
20	7.095	3	0.707	1.2	1.28	0.6	1.1	0.9	43.402
0	1.295	3	0.707	1.4	1.28	0.6	1.1	0.9	0.022
1	2.018	3	0.707	1.4	1.28	0.6	1.1	0.9	0.022
2	2.806	3	0.707	1.4	1.28	0.6	1.1	0.9	0.023
