Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
0	2	1	0.724	0	0.73	0.8	0.766
1	2.674	1	0.724	0	0.73	0.8	0.021
2	2.883	1	0.724	0	0.73	0.8	0.004
3	2.896	1	0.724	0	0.73	0.8	0.005
4	2.883	1	0.724	0	0.73	0.8	0.005
5	2.87	1	0.724	0	0.73	0.8	0.004
6	2.862	1	0.724	0	0.73	0.8	0.004
7	2.858	1	0.724	0	0.73	0.8	0.004
8	2.856	1	0.724	0	0.73	0.8	0.056
9	2.856	1	0.724	0	0.73	0.8	0.005
10	2.856	1	0.724	0	0.73	0.8	0.006
11	2.856	1	0.724	0	0.73	0.8	0.006
12	2.856	1	0.724	0	0.73	0.8	0.006
13	2.857	1	0.724	0	0.73	0.8	0.006
14	2.857	1	0.724	0	0.73	0.8	0.006
15	2.857	1	0.724	0	0.73	0.8	0.006
16	2.857	1	0.724	0	0.73	0.8	0.006
17	2.857	1	0.724	0	0.73	0.8	0.006
18	2.857	1	0.724	0	0.73	0.8	0.005
19	2.857	1	0.724	0	0.73	0.8	0.004
20	2.857	1	0.724	0	0.73	0.8	0.007
0	1.964	1	0.724	0.1	0.73	0.8	0.006
1	2.73	1	0.724	0.1	0.73	0.8	0.005
2	2.897	1	0.724	0.1	0.73	0.8	0.005
3	2.84	1	0.724	0.1	0.73	0.8	0.006
4	2.792	1	0.724	0.1	0.73	0.8	0.005
5	2.787	1	0.724	0.1	0.73	0.8	0.005
6	2.769	1	0.724	0.1	0.73	0.8	0.005
7	2.758	1	0.724	0.1	0.73	0.8	0.005
8	2.753	1	0.724	0.1	0.73	0.8	0.005
9	2.751	1	0.724	0.1	0.73	0.8	0.005
10	2.75	1	0.724	0.1	0.73	0.8	0.006
11	2.751	1	0.724	0.1	0.73	0.8	0.006
12	2.751	1	0.724	0.1	0.73	0.8	0.005
13	2.751	1	0.724	0.1	0.73	0.8	0.006
14	2.752	1	0.724	0.1	0.73	0.8	0.005
15	2.752	1	0.724	0.1	0.73	0.8	0.006
