Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8	Var1_9
0	2	2	0.707	0	0.95	0.3	1	0.189
1	2.994	2	0.707	0	0.95	0.3	1	0.01
2	3.562	2	0.707	0	0.95	0.3	1	0.009
3	3.665	2	0.707	0	0.95	0.3	1	0.011
4	3.763	2	0.707	0	0.95	0.3	1	0.015
5	3.659	2	0.707	0	0.95	0.3	1	0.011
6	3.652	2	0.707	0	0.95	0.3	1	0.015
7	3.648	2	0.707	0	0.95	0.3	1	0.012
8	3.647	2	0.707	0	0.95	0.3	1	0.016
9	3.647	2	0.707	0	0.95	0.3	1	0.018
10	3.647	2	0.707	0	0.95	0.3	1	0.02
11	3.647	2	0.707	0	0.95	0.3	1	0.023
12	3.647	2	0.707	0	0.95	0.3	1	0.031
13	3.647	2	0.707	0	0.95	0.3	1	0.036
14	3.647	2	0.707	0	0.95	0.3	1	0.045
15	3.647	2	0.707	0	0.95	0.3	1	0.051
16	3.647	2	0.707	0	0.95	0.3	1	0.08
17	3.647	2	0.707	0	0.95	0.3	1	0.088
18	3.647	2	0.707	0	0.95	0.3	1	0.099
19	3.647	2	0.707	0	0.95	0.3	1	0.117
20	3.647	2	0.707	0	0.95	0.3	1	0.151
0	1.978	2	0.707	0.1	0.95	0.3	1	0.012
1	3.109	2	0.707	0.1	0.95	0.3	1	0.009
2	3.917	2	0.707	0.1	0.95	0.3	1	0.01
3	4.319	2	0.707	0.1	0.95	0.3	1	0.009
4	4.343	2	0.707	0.1	0.95	0.3	1	0.014
5	4.202	2	0.707	0.1	0.95	0.3	1	0.011
6	4.204	2	0.707	0.1	0.95	0.3	1	0.012
7	4.19	2	0.707	0.1	0.95	0.3	1	0.015
8	4.193	2	0.707	0.1	0.95	0.3	1	0.015
9	4.196	2	0.707	0.1	0.95	0.3	1	0.016
10	4.197	2	0.707	0.1	0.95	0.3	1	0.022
11	4.196	2	0.707	0.1	0.95	0.3	1	0.026
12	4.195	2	0.707	0.1	0.95	0.3	1	0.025
13	4.196	2	0.707	0.1	0.95	0.3	1	0.033
14	4.197	2	0.707	0.1	0.95	0.3	1	0.041
15	4.196	2	0.707	0.1	0.95	0.3	1	0.053
16	4.196	2	0.707	0.1	0.95	0.3	1	0.064
17	4.196	2	0.707	0.1	0.95	0.3	1	0.089
18	4.196	2	0.707	0.1	0.95	0.3	1	0.09
19	4.196	2	0.707	0.1	0.95	0.3	1	0.128
20	4.196	2	0.707	0.1	0.95	0.3	1	0.157
0	1.919	2	0.707	0.2	0.95	0.3	1	0.011
1	3.142	2	0.707	0.2	0.95	0.3	1	0.013
2	4.203	2	0.707	0.2	0.95	0.3	1	0.013
3	4.782	2	0.707	0.2	0.95	0.3	1	0.014
4	4.867	2	0.707	0.2	0.95	0.3	1	0.01
5	4.775	2	0.707	0.2	0.95	0.3	1	0.016
6	4.779	2	0.707	0.2	0.95	0.3	1	0.014
7	4.776	2	0.707	0.2	0.95	0.3	1	0.015
8	4.768	2	0.707	0.2	0.95	0.3	1	0.017
9	4.765	2	0.707	0.2	0.95	0.3	1	0.02
10	4.776	2	0.707	0.2	0.95	0.3	1	0.019
11	4.769	2	0.707	0.2	0.95	0.3	1	0.023
12	4.775	2	0.707	0.2	0.95	0.3	1	0.028
13	4.773	2	0.707	0.2	0.95	0.3	1	0.035
14	4.775	2	0.707	0.2	0.95	0.3	1	0.042
15	4.774	2	0.707	0.2	0.95	0.3	1	0.049
16	4.774	2	0.707	0.2	0.95	0.3	1	0.059
17	4.774	2	0.707	0.2	0.95	0.3	1	0.073
18	4.774	2	0.707	0.2	0.95	0.3	1	0.088
19	4.774	2	0.707	0.2	0.95	0.3	1	0.104
20	4.774	2	0.707	0.2	0.95	0.3	1	0.148
0	1.834	2	0.707	0.3	0.95	0.3	1	0.012
1	3.089	2	0.707	0.3	0.95	0.3	1	0.013
2	4.306	2	0.707	0.3	0.95	0.3	1	0.013
3	4.804	2	0.707	0.3	0.95	0.3	1	0.013
4	5.016	2	0.707	0.3	0.95	0.3	1	0.014
5	4.987	2	0.707	0.3	0.95	0.3	1	0.014
6	4.962	2	0.707	0.3	0.95	0.3	1	0.014
7	4.967	2	0.707	0.3	0.95	0.3	1	0.015
8	4.957	2	0.707	0.3	0.95	0.3	1	0.015
9	4.962	2	0.707	0.3	0.95	0.3	1	0.015
10	4.972	2	0.707	0.3	0.95	0.3	1	0.022
11	4.967	2	0.707	0.3	0.95	0.3	1	0.023
12	4.976	2	0.707	0.3	0.95	0.3	1	0.026
13	4.973	2	0.707	0.3	0.95	0.3	1	0.038
14	4.972	2	0.707	0.3	0.95	0.3	1	0.043
15	4.972	2	0.707	0.3	0.95	0.3	1	0.061
16	4.972	2	0.707	0.3	0.95	0.3	1	0.061
17	4.972	2	0.707	0.3	0.95	0.3	1	0.067
18	4.973	2	0.707	0.3	0.95	0.3	1	0.086
19	4.973	2	0.707	0.3	0.95	0.3	1	0.13
20	4.973	2	0.707	0.3	0.95	0.3	1	0.172
0	1.738	2	0.707	0.4	0.95	0.3	1	0.012
1	2.98	2	0.707	0.4	0.95	0.3	1	0.009
2	4.228	2	0.707	0.4	0.95	0.3	1	0.009
3	4.619	2	0.707	0.4	0.95	0.3	1	0.011
4	4.918	2	0.707	0.4	0.95	0.3	1	0.01
5	4.956	2	0.707	0.4	0.95	0.3	1	0.015
6	4.916	2	0.707	0.4	0.95	0.3	1	0.011
7	4.937	2	0.707	0.4	0.95	0.3	1	0.012
8	4.92	2	0.707	0.4	0.95	0.3	1	0.013
9	4.941	2	0.707	0.4	0.95	0.3	1	0.017
10	4.944	2	0.707	0.4	0.95	0.3	1	0.017
11	4.944	2	0.707	0.4	0.95	0.3	1	0.02
12	4.943	2	0.707	0.4	0.95	0.3	1	0.024
13	4.945	2	0.707	0.4	0.95	0.3	1	0.033
14	4.939	2	0.707	0.4	0.95	0.3	1	0.039
15	4.939	2	0.707	0.4	0.95	0.3	1	0.048
16	4.938	2	0.707	0.4	0.95	0.3	1	0.06
17	4.938	2	0.707	0.4	0.95	0.3	1	0.068
18	4.938	2	0.707	0.4	0.95	0.3	1	0.084
19	4.938	2	0.707	0.4	0.95	0.3	1	0.128
20	4.938	2	0.707	0.4	0.95	0.3	1	0.139
0	1.643	2	0.707	0.5	0.95	0.3	1	0.009
1	2.866	2	0.707	0.5	0.95	0.3	1	0.013
2	4.007	2	0.707	0.5	0.95	0.3	1	0.011
3	4.381	2	0.707	0.5	0.95	0.3	1	0.013
4	4.731	2	0.707	0.5	0.95	0.3	1	0.014
5	4.848	2	0.707	0.5	0.95	0.3	1	0.012
6	4.815	2	0.707	0.5	0.95	0.3	1	0.013
7	4.872	2	0.707	0.5	0.95	0.3	1	0.011
8	4.839	2	0.707	0.5	0.95	0.3	1	0.015
9	4.873	2	0.707	0.5	0.95	0.3	1	0.015
10	4.849	2	0.707	0.5	0.95	0.3	1	0.017
11	4.847	2	0.707	0.5	0.95	0.3	1	0.02
12	4.848	2	0.707	0.5	0.95	0.3	1	0.031
13	4.848	2	0.707	0.5	0.95	0.3	1	0.037
14	4.848	2	0.707	0.5	0.95	0.3	1	0.045
15	4.847	2	0.707	0.5	0.95	0.3	1	0.049
16	4.848	2	0.707	0.5	0.95	0.3	1	0.06
17	4.848	2	0.707	0.5	0.95	0.3	1	0.081
18	4.848	2	0.707	0.5	0.95	0.3	1	0.099
19	4.848	2	0.707	0.5	0.95	0.3	1	0.106
20	4.848	2	0.707	0.5	0.95	0.3	1	0.131
0	1.556	2	0.707	0.6	0.95	0.3	1	0.013
1	2.784	2	0.707	0.6	0.95	0.3	1	0.01
2	3.799	2	0.707	0.6	0.95	0.3	1	0.009
3	4.141	2	0.707	0.6	0.95	0.3	1	0.011
4	4.517	2	0.707	0.6	0.95	0.3	1	0.011
5	4.618	2	0.707	0.6	0.95	0.3	1	0.013
6	4.631	2	0.707	0.6	0.95	0.3	1	0.011
7	4.716	2	0.707	0.6	0.95	0.3	1	0.015
8	4.675	2	0.707	0.6	0.95	0.3	1	0.015
9	4.713	2	0.707	0.6	0.95	0.3	1	0.021
10	4.692	2	0.707	0.6	0.95	0.3	1	0.022
11	4.696	2	0.707	0.6	0.95	0.3	1	0.024
12	4.694	2	0.707	0.6	0.95	0.3	1	0.025
13	4.695	2	0.707	0.6	0.95	0.3	1	0.033
14	4.694	2	0.707	0.6	0.95	0.3	1	0.04
15	4.694	2	0.707	0.6	0.95	0.3	1	0.058
16	4.694	2	0.707	0.6	0.95	0.3	1	0.064
17	4.694	2	0.707	0.6	0.95	0.3	1	0.073
18	4.694	2	0.707	0.6	0.95	0.3	1	0.092
19	4.694	2	0.707	0.6	0.95	0.3	1	0.106
20	4.694	2	0.707	0.6	0.95	0.3	1	0.122
0	1.479	2	0.707	0.7	0.95	0.3	1	0.01
1	2.723	2	0.707	0.7	0.95	0.3	1	0.013
2	3.687	2	0.707	0.7	0.95	0.3	1	0.013
3	3.99	2	0.707	0.7	0.95	0.3	1	0.011
4	4.358	2	0.707	0.7	0.95	0.3	1	0.01
5	4.395	2	0.707	0.7	0.95	0.3	1	0.012
6	4.42	2	0.707	0.7	0.95	0.3	1	0.015
7	4.518	2	0.707	0.7	0.95	0.3	1	0.011
8	4.444	2	0.707	0.7	0.95	0.3	1	0.015
9	4.485	2	0.707	0.7	0.95	0.3	1	0.019
10	4.476	2	0.707	0.7	0.95	0.3	1	0.023
11	4.48	2	0.707	0.7	0.95	0.3	1	0.021
12	4.48	2	0.707	0.7	0.95	0.3	1	0.03
13	4.48	2	0.707	0.7	0.95	0.3	1	0.032
14	4.487	2	0.707	0.7	0.95	0.3	1	0.049
15	4.481	2	0.707	0.7	0.95	0.3	1	0.058
16	4.48	2	0.707	0.7	0.95	0.3	1	0.063
17	4.48	2	0.707	0.7	0.95	0.3	1	0.072
18	4.48	2	0.707	0.7	0.95	0.3	1	0.093
19	4.481	2	0.707	0.7	0.95	0.3	1	0.115
20	4.48	2	0.707	0.7	0.95	0.3	1	0.127
0	1.414	2	0.707	0.8	0.95	0.3	1	0.01
1	2.587	2	0.707	0.8	0.95	0.3	1	0.011
2	3.577	2	0.707	0.8	0.95	0.3	1	0.013
3	3.967	2	0.707	0.8	0.95	0.3	1	0.011
4	4.314	2	0.707	0.8	0.95	0.3	1	0.012
5	4.346	2	0.707	0.8	0.95	0.3	1	0.012
6	4.326	2	0.707	0.8	0.95	0.3	1	0.014
7	4.461	2	0.707	0.8	0.95	0.3	1	0.013
8	4.333	2	0.707	0.8	0.95	0.3	1	0.016
9	4.35	2	0.707	0.8	0.95	0.3	1	0.017
10	4.358	2	0.707	0.8	0.95	0.3	1	0.021
11	4.359	2	0.707	0.8	0.95	0.3	1	0.025
12	4.36	2	0.707	0.8	0.95	0.3	1	0.03
13	4.358	2	0.707	0.8	0.95	0.3	1	0.032
14	4.358	2	0.707	0.8	0.95	0.3	1	0.044
15	4.358	2	0.707	0.8	0.95	0.3	1	0.05
16	4.358	2	0.707	0.8	0.95	0.3	1	0.059
17	4.358	2	0.707	0.8	0.95	0.3	1	0.089
18	4.358	2	0.707	0.8	0.95	0.3	1	0.095
19	4.358	2	0.707	0.8	0.95	0.3	1	0.129
20	4.358	2	0.707	0.8	0.95	0.3	1	0.149
0	1.384	2	0.707	0.85	0.95	0.3	1	0.01
1	2.463	2	0.707	0.85	0.95	0.3	1	0.009
2	3.435	2	0.707	0.85	0.95	0.3	1	0.013
3	3.919	2	0.707	0.85	0.95	0.3	1	0.013
4	4.292	2	0.707	0.85	0.95	0.3	1	0.013
5	4.303	2	0.707	0.85	0.95	0.3	1	0.013
6	4.281	2	0.707	0.85	0.95	0.3	1	0.015
7	4.39	2	0.707	0.85	0.95	0.3	1	0.016
8	4.29	2	0.707	0.85	0.95	0.3	1	0.018
9	4.305	2	0.707	0.85	0.95	0.3	1	0.019
10	4.311	2	0.707	0.85	0.95	0.3	1	0.021
11	4.312	2	0.707	0.85	0.95	0.3	1	0.026
12	4.31	2	0.707	0.85	0.95	0.3	1	0.028
13	4.309	2	0.707	0.85	0.95	0.3	1	0.034
14	4.309	2	0.707	0.85	0.95	0.3	1	0.044
15	4.309	2	0.707	0.85	0.95	0.3	1	0.052
16	4.309	2	0.707	0.85	0.95	0.3	1	0.054
17	4.309	2	0.707	0.85	0.95	0.3	1	0.077
18	4.309	2	0.707	0.85	0.95	0.3	1	0.11
19	4.309	2	0.707	0.85	0.95	0.3	1	0.111
20	4.309	2	0.707	0.85	0.95	0.3	1	0.154
0	1.358	2	0.707	0.9	0.95	0.3	1	0.013
1	2.307	2	0.707	0.9	0.95	0.3	1	0.01
2	3.202	2	0.707	0.9	0.95	0.3	1	0.012
3	3.74	2	0.707	0.9	0.95	0.3	1	0.014
4	4.18	2	0.707	0.9	0.95	0.3	1	0.011
5	4.152	2	0.707	0.9	0.95	0.3	1	0.016
6	4.15	2	0.707	0.9	0.95	0.3	1	0.012
7	4.201	2	0.707	0.9	0.95	0.3	1	0.015
8	4.154	2	0.707	0.9	0.95	0.3	1	0.014
9	4.167	2	0.707	0.9	0.95	0.3	1	0.02
10	4.168	2	0.707	0.9	0.95	0.3	1	0.023
11	4.175	2	0.707	0.9	0.95	0.3	1	0.026
12	4.17	2	0.707	0.9	0.95	0.3	1	0.031
13	4.17	2	0.707	0.9	0.95	0.3	1	0.035
14	4.169	2	0.707	0.9	0.95	0.3	1	0.046
15	4.169	2	0.707	0.9	0.95	0.3	1	0.054
16	4.169	2	0.707	0.9	0.95	0.3	1	0.063
17	4.169	2	0.707	0.9	0.95	0.3	1	0.08
18	4.169	2	0.707	0.9	0.95	0.3	1	0.087
19	4.169	2	0.707	0.9	0.95	0.3	1	0.12
20	4.169	2	0.707	0.9	0.95	0.3	1	0.162
0	1.311	2	0.707	1	0.95	0.3	1	0.01
1	1.981	2	0.707	1	0.95	0.3	1	0.013
2	2.613	2	0.707	1	0.95	0.3	1	0.012
3	3.064	2	0.707	1	0.95	0.3	1	0.011
4	3.582	2	0.707	1	0.95	0.3	1	0.014
5	3.539	2	0.707	1	0.95	0.3	1	0.012
6	3.614	2	0.707	1	0.95	0.3	1	0.015
7	3.608	2	0.707	1	0.95	0.3	1	0.013
8	3.599	2	0.707	1	0.95	0.3	1	0.014
9	3.611	2	0.707	1	0.95	0.3	1	0.02
10	3.608	2	0.707	1	0.95	0.3	1	0.019
11	3.608	2	0.707	1	0.95	0.3	1	0.026
12	3.609	2	0.707	1	0.95	0.3	1	0.028
13	3.608	2	0.707	1	0.95	0.3	1	0.03
14	3.608	2	0.707	1	0.95	0.3	1	0.041
15	3.608	2	0.707	1	0.95	0.3	1	0.05
16	3.608	2	0.707	1	0.95	0.3	1	0.057
17	3.608	2	0.707	1	0.95	0.3	1	0.063
18	3.608	2	0.707	1	0.95	0.3	1	0.102
19	3.608	2	0.707	1	0.95	0.3	1	0.124
20	3.608	2	0.707	1	0.95	0.3	1	0.133
0	1.272	2	0.707	1.1	0.95	0.3	1	0.009
1	1.725	2	0.707	1.1	0.95	0.3	1	0.009
2	2.134	2	0.707	1.1	0.95	0.3	1	0.011
3	2.392	2	0.707	1.1	0.95	0.3	1	0.009
4	2.577	2	0.707	1.1	0.95	0.3	1	0.01
5	3.222	2	0.707	1.1	0.95	0.3	1	0.01
6	3.294	2	0.707	1.1	0.95	0.3	1	0.011
7	3.31	2	0.707	1.1	0.95	0.3	1	0.012
8	3.31	2	0.707	1.1	0.95	0.3	1	0.013
9	3.309	2	0.707	1.1	0.95	0.3	1	0.019
10	3.31	2	0.707	1.1	0.95	0.3	1	0.02
11	3.31	2	0.707	1.1	0.95	0.3	1	0.02
12	3.309	2	0.707	1.1	0.95	0.3	1	0.028
13	3.31	2	0.707	1.1	0.95	0.3	1	0.034
14	3.311	2	0.707	1.1	0.95	0.3	1	0.046
15	3.31	2	0.707	1.1	0.95	0.3	1	0.047
16	3.31	2	0.707	1.1	0.95	0.3	1	0.062
17	3.31	2	0.707	1.1	0.95	0.3	1	0.088
18	3.311	2	0.707	1.1	0.95	0.3	1	0.09
19	3.311	2	0.707	1.1	0.95	0.3	1	0.106
20	3.311	2	0.707	1.1	0.95	0.3	1	0.153
0	1.239	2	0.707	1.2	0.95	0.3	1	0.009
1	1.555	2	0.707	1.2	0.95	0.3	1	0.009
2	1.834	2	0.707	1.2	0.95	0.3	1	0.012
3	2.014	2	0.707	1.2	0.95	0.3	1	0.01
4	2.123	2	0.707	1.2	0.95	0.3	1	0.013
5	2.227	2	0.707	1.2	0.95	0.3	1	0.014
6	2.3	2	0.707	1.2	0.95	0.3	1	0.011
7	2.331	2	0.707	1.2	0.95	0.3	1	0.015
8	2.329	2	0.707	1.2	0.95	0.3	1	0.016
9	2.336	2	0.707	1.2	0.95	0.3	1	0.015
10	2.327	2	0.707	1.2	0.95	0.3	1	0.022
11	2.327	2	0.707	1.2	0.95	0.3	1	0.025
12	2.327	2	0.707	1.2	0.95	0.3	1	0.028
13	2.327	2	0.707	1.2	0.95	0.3	1	0.035
