Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
2	1.916	2	0.71	1	0.969	1	0.009
3	2.687	2	0.71	1	0.969	1	0.009
4	3.253	2	0.71	1	0.969	1	0.009
5	3.664	2	0.71	1	0.969	1	0.01
6	3.893	2	0.71	1	0.969	1	0.01
7	3.995	2	0.71	1	0.969	1	0.012
8	4.023	2	0.71	1	0.969	1	0.013
9	4.05	2	0.71	1	0.969	1	0.017
10	4.046	2	0.71	1	0.969	1	0.021
11	4.052	2	0.71	1	0.969	1	0.022
12	4.055	2	0.71	1	0.969	1	0.026
13	4.054	2	0.71	1	0.969	1	0.032
14	4.054	2	0.71	1	0.969	1	0.042
15	4.055	2	0.71	1	0.969	1	0.044
16	4.054	2	0.71	1	0.969	1	0.069
17	4.054	2	0.71	1	0.969	1	0.081
18	4.054	2	0.71	1	0.969	1	0.082
19	4.054	2	0.71	1	0.969	1	0.104
20	4.055	2	0.71	1	0.969	1	0.124
0	0.311	2	0.71	1.2	0.969	1	0.01
1	0.869	2	0.71	1.2	0.969	1	0.012
2	1.39	2	0.71	1.2	0.969	1	0.012
3	1.797	2	0.71	1.2	0.969	1	0.013
4	2.085	2	0.71	1.2	0.969	1	0.013
5	2.306	2	0.71	1.2	0.969	1	0.013
6	2.463	2	0.71	1.2	0.969	1	0.014
7	2.549	2	0.71	1.2	0.969	1	0.015
8	2.585	2	0.71	1.2	0.969	1	0.017
9	2.622	2	0.71	1.2	0.969	1	0.014
10	2.611	2	0.71	1.2	0.969	1	0.016
11	2.616	2	0.71	1.2	0.969	1	0.019
12	2.614	2	0.71	1.2	0.969	1	0.023
13	2.613	2	0.71	1.2	0.969	1	0.034
14	2.612	2	0.71	1.2	0.969	1	0.04
15	2.612	2	0.71	1.2	0.969	1	0.053
16	2.611	2	0.71	1.2	0.969	1	0.07
17	2.612	2	0.71	1.2	0.969	1	0.069
18	2.612	2	0.71	1.2	0.969	1	0.093
19	2.612	2	0.71	1.2	0.969	1	0.118
20	2.612	2	0.71	1.2	0.969	1	0.145
0	0.298	2	0.71	1.4	0.969	1	0.009
1	0.787	2	0.71	1.4	0.969	1	0.008
2	1.385	2	0.71	1.4	0.969	1	0.009
3	1.753	2	0.71	1.4	0.969	1	0.009
4	2.089	2	0.71	1.4	0.969	1	0.009
5	2.255	2	0.71	1.4	0.969	1	0.011
6	2.368	2	0.71	1.4	0.969	1	0.018
7	2.436	2	0.71	1.4	0.969	1	0.013
8	2.489	2	0.71	1.4	0.969	1	0.017
9	2.498	2	0.71	1.4	0.969	1	0.02
10	2.5	2	0.71	1.4	0.969	1	0.019
11	2.497	2	0.71	1.4	0.969	1	0.023
12	2.496	2	0.71	1.4	0.969	1	0.029
13	2.497	2	0.71	1.4	0.969	1	0.032
14	2.498	2	0.71	1.4	0.969	1	0.039
15	2.495	2	0.71	1.4	0.969	1	0.048
16	2.495	2	0.71	1.4	0.969	1	0.056
17	2.495	2	0.71	1.4	0.969	1	0.071
18	2.495	2	0.71	1.4	0.969	1	0.079
19	2.495	2	0.71	1.4	0.969	1	0.114
20	2.495	2	0.71	1.4	0.969	1	0.138
0	0.289	2	0.71	1.6	0.969	1	0.01
1	0.981	2	0.71	1.6	0.969	1	0.009
2	1.601	2	0.71	1.6	0.969	1	0.009
3	2.101	2	0.71	1.6	0.969	1	0.009
4	2.413	2	0.71	1.6	0.969	1	0.012
5	2.602	2	0.71	1.6	0.969	1	0.01
6	2.717	2	0.71	1.6	0.969	1	0.011
7	2.789	2	0.71	1.6	0.969	1	0.012
8	2.835	2	0.71	1.6	0.969	1	0.015
9	2.859	2	0.71	1.6	0.969	1	0.018
