Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
0	0.063	5	0.71	0	1.684	1	0.08
1	0.868	5	0.71	0	1.684	1	0.048
2	2.933	5	0.71	0	1.684	1	0.084
3	6.274	5	0.71	0	1.684	1	1.459
4	9.693	5	0.71	0	1.684	1	30.427
5	12.402	5	0.71	0	1.684	1	373.489
6	14.379	5	0.71	0	1.684	1	2323.021
7	15.912	5	0.71	0	1.684	1	7710.356
0	0.062	5	0.71	0.2	1.684	1	0.042
1	0.882	5	0.71	0.2	1.684	1	0.079
2	3.417	5	0.71	0.2	1.684	1	0.078
3	7.525	5	0.71	0.2	1.684	1	1.505
4	12.782	5	0.71	0.2	1.684	1	30.749
5	18.608	5	0.71	0.2	1.684	1	370.932
6	23.338	5	0.71	0.2	1.684	1	2323.819
7	28.635	5	0.71	0.2	1.684	1	7746.758
0	0.059	5	0.71	0.4	1.684	1	0.041
1	0.886	5	0.71	0.4	1.684	1	0.042
2	3.667	5	0.71	0.4	1.684	1	0.092
3	8.445	5	0.71	0.4	1.684	1	1.503
4	15.133	5	0.71	0.4	1.684	1	30.373
5	22.727	5	0.71	0.4	1.684	1	378.369
6	29.584	5	0.71	0.4	1.684	1	2319.358
7	36.749	5	0.71	0.4	1.684	1	7738.695
0	0.056	5	0.71	0.6	1.684	1	0.045
1	0.849	5	0.71	0.6	1.684	1	0.067
2	3.608	5	0.71	0.6	1.684	1	0.1
3	8.822	5	0.71	0.6	1.684	1	1.455
4	16.447	5	0.71	0.6	1.684	1	30.337
5	25.1	5	0.71	0.6	1.684	1	373.474
6	33.725	5	0.71	0.6	1.684	1	2325.576
7	41.744	5	0.71	0.6	1.684	1	7754.218
0	0.053	5	0.71	0.8	1.684	1	0.042
1	0.777	5	0.71	0.8	1.684	1	0.043
2	3.247	5	0.71	0.8	1.684	1	0.095
3	8.555	5	0.71	0.8	1.684	1	1.38
4	16.149	5	0.71	0.8	1.684	1	30.153
5	25.054	5	0.71	0.8	1.684	1	376.486
6	34.281	5	0.71	0.8	1.684	1	2308.512
7	43.89	5	0.71	0.8	1.684	1	7693.209
0	0.05	5	0.71	1	1.684	1	0.051
1	0.692	5	0.71	1	1.684	1	0.047
2	2.956	5	0.71	1	1.684	1	0.102
3	7.522	5	0.71	1	1.684	1	1.494
4	14.453	5	0.71	1	1.684	1	30.281
5	23.49	5	0.71	1	1.684	1	380.278
6	33.36	5	0.71	1	1.684	1	2387.456
7	43.334	5	0.71	1	1.684	1	7760.404
0	0.047	5	0.71	1.2	1.684	1	0.057
1	0.715	5	0.71	1.2	1.684	1	0.049
2	2.705	5	0.71	1.2	1.684	1	0.09
3	6.255	5	0.71	1.2	1.684	1	1.367
4	12.227	5	0.71	1.2	1.684	1	29.904
5	19.99	5	0.71	1.2	1.684	1	364.783
6	28.982	5	0.71	1.2	1.684	1	2367.036
7	39.236	5	0.71	1.2	1.684	1	8455.335
0	0.044	5	0.71	1.4	1.684	1	0.066
1	0.633	5	0.71	1.4	1.684	1	0.043
2	2.373	5	0.71	1.4	1.684	1	0.092
3	5.415	5	0.71	1.4	1.684	1	1.456
4	9.723	5	0.71	1.4	1.684	1	28.976
5	16.543	5	0.71	1.4	1.684	1	469.359
6	24.42	5	0.71	1.4	1.684	1	2313.053
7	32.334	5	0.71	1.4	1.684	1	7654.814
0	0.042	5	0.71	1.6	1.684	1	0.045
1	0.622	5	0.71	1.6	1.684	1	0.041
2	2.378	5	0.71	1.6	1.684	1	0.089
3	4.976	5	0.71	1.6	1.684	1	1.47
4	8.042	5	0.71	1.6	1.684	1	29.772
5	12.566	5	0.71	1.6	1.684	1	370.895
6	18.566	5	0.71	1.6	1.684	1	2296.785
7	24.266	5	0.71	1.6	1.684	1	7717.669
0	0.041	5	0.71	1.8	1.684	1	0.045
1	0.404	5	0.71	1.8	1.684	1	0.043
2	1.434	5	0.71	1.8	1.684	1	0.09
3	3.62	5	0.71	1.8	1.684	1	1.5
4	7.09	5	0.71	1.8	1.684	1	30.249
5	11.068	5	0.71	1.8	1.684	1	373.671
6	14.66	5	0.71	1.8	1.684	1	2311.871
7	18.086	5	0.71	1.8	1.684	1	7730.936
0	0.039	5	0.71	2	1.684	1	0.063
1	0.446	5	0.71	2	1.684	1	0.06
2	1.429	5	0.71	2	1.684	1	0.1
3	2.491	5	0.71	2	1.684	1	1.424
4	3.847	5	0.71	2	1.684	1	30.375
5	5.074	5	0.71	2	1.684	1	371.489
6	6.489	5	0.71	2	1.684	1	2313.928
7	7.596	5	0.71	2	1.684	1	7732.809
0	0.038	5	0.71	2.2	1.684	1	0.045
1	0.35	5	0.71	2.2	1.684	1	0.05
2	1.009	5	0.71	2.2	1.684	1	0.12
3	1.82	5	0.71	2.2	1.684	1	1.547
4	2.806	5	0.71	2.2	1.684	1	30.329
5	3.635	5	0.71	2.2	1.684	1	370.559
6	4.421	5	0.71	2.2	1.684	1	2311.205
7	5.218	5	0.71	2.2	1.684	1	7712.294
0	0.037	5	0.71	2.4	1.684	1	0.043
1	0.386	5	0.71	2.4	1.684	1	0.049
2	1.108	5	0.71	2.4	1.684	1	0.092
3	1.914	5	0.71	2.4	1.684	1	1.525
4	2.701	5	0.71	2.4	1.684	1	30.203
5	3.411	5	0.71	2.4	1.684	1	374.42
6	3.934	5	0.71	2.4	1.684	1	2313.461
7	4.436	5	0.71	2.4	1.684	1	9314.709
0	0.037	5	0.71	2.6	1.684	1	0.051
1	0.333	5	0.71	2.6	1.684	1	0.049
2	1.177	5	0.71	2.6	1.684	1	0.108
3	2.059	5	0.71	2.6	1.684	1	1.417
4	2.857	5	0.71	2.6	1.684	1	31.047
5	3.577	5	0.71	2.6	1.684	1	408.35
6	4.122	5	0.71	2.6	1.684	1	2763.859
7	4.624	5	0.71	2.6	1.684	1	7930.954
0	0.036	5	0.71	2.8	1.684	1	0.044
1	0.299	5	0.71	2.8	1.684	1	0.045
2	0.824	5	0.71	2.8	1.684	1	0.108
3	1.486	5	0.71	2.8	1.684	1	1.386
4	2.135	5	0.71	2.8	1.684	1	29.319
5	2.634	5	0.71	2.8	1.684	1	372.677
6	2.981	5	0.71	2.8	1.684	1	2437.957
7	3.193	5	0.71	2.8	1.684	1	8386.544
0	0.036	5	0.71	3	1.684	1	0.069
1	0.291	5	0.71	3	1.684	1	0.045
2	0.81	5	0.71	3	1.684	1	0.12
3	1.263	5	0.71	3	1.684	1	1.468
4	1.598	5	0.71	3	1.684	1	29.735
5	1.875	5	0.71	3	1.684	1	368.938
6	2.058	5	0.71	3	1.684	1	2311.544
7	2.253	5	0.71	3	1.684	1	7655.936
