Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
0	0.25	3	0.71	0	1.216	1	0.027
1	1.396	3	0.71	0	1.216	1	0.022
2	3.043	3	0.71	0	1.216	1	0.023
3	4.725	3	0.71	0	1.216	1	0.028
4	5.514	3	0.71	0	1.216	1	0.034
5	6.003	3	0.71	0	1.216	1	0.051
6	6.302	3	0.71	0	1.216	1	0.105
7	6.496	3	0.71	0	1.216	1	0.225
8	6.613	3	0.71	0	1.216	1	0.45
9	6.676	3	0.71	0	1.216	1	1.093
10	6.69	3	0.71	0	1.216	1	2.37
11	6.708	3	0.71	0	1.216	1	4.695
12	6.714	3	0.71	0	1.216	1	9.675
13	6.713	3	0.71	0	1.216	1	13.529
14	6.715	3	0.71	0	1.216	1	27.073
15	6.715	3	0.71	0	1.216	1	40.637
16	6.717	3	0.71	0	1.216	1	40.484
17	6.715	3	0.71	0	1.216	1	41.143
18	6.715	3	0.71	0	1.216	1	41.418
19	6.717	3	0.71	0	1.216	1	40.939
20	6.716	3	0.71	0	1.216	1	41.983
0	0.244	3	0.71	0.2	1.216	1	0.022
1	1.49	3	0.71	0.2	1.216	1	0.021
2	3.403	3	0.71	0.2	1.216	1	0.022
3	5.75	3	0.71	0.2	1.216	1	0.026
4	7.043	3	0.71	0.2	1.216	1	0.037
5	7.955	3	0.71	0.2	1.216	1	0.062
6	8.575	3	0.71	0.2	1.216	1	0.111
7	8.918	3	0.71	0.2	1.216	1	0.247
8	9.081	3	0.71	0.2	1.216	1	0.589
9	9.179	3	0.71	0.2	1.216	1	1.085
10	9.241	3	0.71	0.2	1.216	1	2.379
11	9.251	3	0.71	0.2	1.216	1	4.798
12	9.312	3	0.71	0.2	1.216	1	9.442
13	9.312	3	0.71	0.2	1.216	1	13.451
14	9.326	3	0.71	0.2	1.216	1	27.511
15	9.327	3	0.71	0.2	1.216	1	41.486
16	9.345	3	0.71	0.2	1.216	1	40.894
17	9.342	3	0.71	0.2	1.216	1	41.754
18	9.348	3	0.71	0.2	1.216	1	41.342
19	9.348	3	0.71	0.2	1.216	1	41.888
20	9.348	3	0.71	0.2	1.216	1	42.192
0	0.228	3	0.71	0.4	1.216	1	0.022
1	1.503	3	0.71	0.4	1.216	1	0.021
2	3.363	3	0.71	0.4	1.216	1	0.023
3	6.072	3	0.71	0.4	1.216	1	0.035
4	7.966	3	0.71	0.4	1.216	1	0.032
5	9.417	3	0.71	0.4	1.216	1	0.054
6	10.253	3	0.71	0.4	1.216	1	0.116
7	10.573	3	0.71	0.4	1.216	1	0.254
8	10.68	3	0.71	0.4	1.216	1	0.506
9	10.869	3	0.71	0.4	1.216	1	0.986
10	10.994	3	0.71	0.4	1.216	1	2.4
11	11.037	3	0.71	0.4	1.216	1	4.769
12	11.049	3	0.71	0.4	1.216	1	9.357
13	11.095	3	0.71	0.4	1.216	1	13.994
14	11.101	3	0.71	0.4	1.216	1	26.95
15	11.121	3	0.71	0.4	1.216	1	40.576
16	11.141	3	0.71	0.4	1.216	1	42.054
17	11.142	3	0.71	0.4	1.216	1	41.472
18	11.141	3	0.71	0.4	1.216	1	41.341
19	11.139	3	0.71	0.4	1.216	1	41.091
20	11.143	3	0.71	0.4	1.216	1	41.483
0	0.209	3	0.71	0.6	1.216	1	0.022
1	1.29	3	0.71	0.6	1.216	1	0.021
2	3.135	3	0.71	0.6	1.216	1	0.024
3	5.79	3	0.71	0.6	1.216	1	0.049
4	8.084	3	0.71	0.6	1.216	1	0.04
5	9.572	3	0.71	0.6	1.216	1	0.051
6	10.386	3	0.71	0.6	1.216	1	0.115
7	10.848	3	0.71	0.6	1.216	1	0.223
8	11.154	3	0.71	0.6	1.216	1	0.52
9	11.259	3	0.71	0.6	1.216	1	1.03
10	11.516	3	0.71	0.6	1.216	1	2.223
11	11.608	3	0.71	0.6	1.216	1	4.775
12	11.715	3	0.71	0.6	1.216	1	9.326
13	11.741	3	0.71	0.6	1.216	1	13.484
14	11.774	3	0.71	0.6	1.216	1	26.757
15	11.765	3	0.71	0.6	1.216	1	39.654
16	11.773	3	0.71	0.6	1.216	1	41.269
17	11.777	3	0.71	0.6	1.216	1	40.528
18	11.787	3	0.71	0.6	1.216	1	41.175
19	11.79	3	0.71	0.6	1.216	1	40.901
20	11.788	3	0.71	0.6	1.216	1	41.095
0	0.192	3	0.71	0.8	1.216	1	0.023
1	1.126	3	0.71	0.8	1.216	1	0.021
2	2.847	3	0.71	0.8	1.216	1	0.024
3	5.157	3	0.71	0.8	1.216	1	0.024
4	7.099	3	0.71	0.8	1.216	1	0.031
5	8.397	3	0.71	0.8	1.216	1	0.054
6	9.308	3	0.71	0.8	1.216	1	0.116
7	9.971	3	0.71	0.8	1.216	1	0.21
8	10.319	3	0.71	0.8	1.216	1	0.532
9	10.631	3	0.71	0.8	1.216	1	1.036
