Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
0	1	1	0.71	0	0.71	1	0.014
1	2	1	0.71	0	0.71	1	0.005
2	2.521	1	0.71	0	0.71	1	0.005
3	2.715	1	0.71	0	0.71	1	0.005
4	2.79	1	0.71	0	0.71	1	0.005
5	2.817	1	0.71	0	0.71	1	0.004
6	2.827	1	0.71	0	0.71	1	0.004
7	2.832	1	0.71	0	0.71	1	0.004
8	2.834	1	0.71	0	0.71	1	0.006
9	2.836	1	0.71	0	0.71	1	0.006
10	2.837	1	0.71	0	0.71	1	0.007
11	2.839	1	0.71	0	0.71	1	0.007
12	2.84	1	0.71	0	0.71	1	0.007
13	2.842	1	0.71	0	0.71	1	0.006
14	2.843	1	0.71	0	0.71	1	0.006
15	2.844	1	0.71	0	0.71	1	0.007
16	2.844	1	0.71	0	0.71	1	0.006
17	2.844	1	0.71	0	0.71	1	0.006
18	2.844	1	0.71	0	0.71	1	0.006
19	2.844	1	0.71	0	0.71	1	0.006
20	2.844	1	0.71	0	0.71	1	0.006
0	0.932	1	0.71	0.2	0.71	1	0.005
1	2.009	1	0.71	0.2	0.71	1	0.006
2	2.434	1	0.71	0.2	0.71	1	0.006
3	2.525	1	0.71	0.2	0.71	1	0.006
4	2.562	1	0.71	0.2	0.71	1	0.006
5	2.574	1	0.71	0.2	0.71	1	0.006
6	2.572	1	0.71	0.2	0.71	1	0.005
7	2.569	1	0.71	0.2	0.71	1	0.005
8	2.567	1	0.71	0.2	0.71	1	0.005
9	2.567	1	0.71	0.2	0.71	1	0.005
10	2.567	1	0.71	0.2	0.71	1	0.006
11	2.568	1	0.71	0.2	0.71	1	0.005
12	2.57	1	0.71	0.2	0.71	1	0.005
13	2.571	1	0.71	0.2	0.71	1	0.005
14	2.573	1	0.71	0.2	0.71	1	0.006
15	2.574	1	0.71	0.2	0.71	1	0.006
16	2.574	1	0.71	0.2	0.71	1	0.005
17	2.573	1	0.71	0.2	0.71	1	0.006
18	2.573	1	0.71	0.2	0.71	1	0.006
19	2.573	1	0.71	0.2	0.71	1	0.005
20	2.573	1	0.71	0.2	0.71	1	0.007
0	0.806	1	0.71	0.4	0.71	1	0.006
1	1.84	1	0.71	0.4	0.71	1	0.005
2	2.296	1	0.71	0.4	0.71	1	0.005
3	2.454	1	0.71	0.4	0.71	1	0.005
4	2.508	1	0.71	0.4	0.71	1	0.005
5	2.521	1	0.71	0.4	0.71	1	0.005
6	2.521	1	0.71	0.4	0.71	1	0.005
7	2.519	1	0.71	0.4	0.71	1	0.005
8	2.518	1	0.71	0.4	0.71	1	0.006
9	2.519	1	0.71	0.4	0.71	1	0.005
10	2.519	1	0.71	0.4	0.71	1	0.005
11	2.521	1	0.71	0.4	0.71	1	0.005
12	2.522	1	0.71	0.4	0.71	1	0.004
13	2.524	1	0.71	0.4	0.71	1	0.006
14	2.526	1	0.71	0.4	0.71	1	0.005
15	2.526	1	0.71	0.4	0.71	1	0.006
16	2.526	1	0.71	0.4	0.71	1	0.006
17	2.525	1	0.71	0.4	0.71	1	0.006
18	2.525	1	0.71	0.4	0.71	1	0.006
19	2.525	1	0.71	0.4	0.71	1	0.006
20	2.525	1	0.71	0.4	0.71	1	0.006
0	0.706	1	0.71	0.6	0.71	1	0.006
1	1.501	1	0.71	0.6	0.71	1	0.005
2	1.979	1	0.71	0.6	0.71	1	0.004
3	2.232	1	0.71	0.6	0.71	1	0.005
4	2.336	1	0.71	0.6	0.71	1	0.005
5	2.371	1	0.71	0.6	0.71	1	0.006
6	2.379	1	0.71	0.6	0.71	1	0.004
7	2.377	1	0.71	0.6	0.71	1	0.004
8	2.376	1	0.71	0.6	0.71	1	0.004
9	2.377	1	0.71	0.6	0.71	1	0.004
10	2.378	1	0.71	0.6	0.71	1	0.004
11	2.379	1	0.71	0.6	0.71	1	0.005
12	2.381	1	0.71	0.6	0.71	1	0.004
13	2.383	1	0.71	0.6	0.71	1	0.005
14	2.385	1	0.71	0.6	0.71	1	0.006
