Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
0	0.125	4	0.71	0	1.454	1	0.044
1	1.083	4	0.71	0	1.454	1	0.036
2	3.012	4	0.71	0	1.454	1	0.049
3	5.392	4	0.71	0	1.454	1	0.084
4	7.45	4	0.71	0	1.454	1	0.432
5	9.014	4	0.71	0	1.454	1	2.403
6	10.088	4	0.71	0	1.454	1	13.285
7	10.879	4	0.71	0	1.454	1	54.103
8	11.321	4	0.71	0	1.454	1	164.85
9	11.557	4	0.71	0	1.454	1	329.084
10	11.732	4	0.71	0	1.454	1	443.557
11	11.788	4	0.71	0	1.454	1	506.685
12	11.841	4	0.71	0	1.454	1	569.5
0	0.123	4	0.71	0.2	1.454	1	0.064
1	1.21	4	0.71	0.2	1.454	1	0.057
2	3.34	4	0.71	0.2	1.454	1	0.051
3	6.348	4	0.71	0.2	1.454	1	0.094
4	9.754	4	0.71	0.2	1.454	1	0.41
5	12.878	4	0.71	0.2	1.454	1	2.401
6	15.183	4	0.71	0.2	1.454	1	12.669
7	16.681	4	0.71	0.2	1.454	1	52.827
8	17.695	4	0.71	0.2	1.454	1	163.525
9	18.271	4	0.71	0.2	1.454	1	324.858
10	18.57	4	0.71	0.2	1.454	1	439.138
11	18.68	4	0.71	0.2	1.454	1	553.924
12	18.804	4	0.71	0.2	1.454	1	621.687
0	0.117	4	0.71	0.4	1.454	1	0.049
1	1.237	4	0.71	0.4	1.454	1	0.068
2	3.52	4	0.71	0.4	1.454	1	0.053
3	7.112	4	0.71	0.4	1.454	1	0.087
4	11.441	4	0.71	0.4	1.454	1	0.405
5	15.563	4	0.71	0.4	1.454	1	2.343
6	18.476	4	0.71	0.4	1.454	1	13.298
7	20.374	4	0.71	0.4	1.454	1	53.184
8	21.627	4	0.71	0.4	1.454	1	164.125
9	22.527	4	0.71	0.4	1.454	1	328.795
10	23.062	4	0.71	0.4	1.454	1	493.144
11	23.365	4	0.71	0.4	1.454	1	546.831
12	23.569	4	0.71	0.4	1.454	1	677.466
0	0.109	4	0.71	0.6	1.454	1	0.071
1	1.182	4	0.71	0.6	1.454	1	0.041
2	3.451	4	0.71	0.6	1.454	1	0.044
3	7.324	4	0.71	0.6	1.454	1	0.102
4	11.862	4	0.71	0.6	1.454	1	0.413
5	15.892	4	0.71	0.6	1.454	1	2.388
6	18.808	4	0.71	0.6	1.454	1	13.561
7	20.928	4	0.71	0.6	1.454	1	53.496
8	22.462	4	0.71	0.6	1.454	1	162.475
9	23.757	4	0.71	0.6	1.454	1	330.295
10	24.624	4	0.71	0.6	1.454	1	497.303
11	25.184	4	0.71	0.6	1.454	1	612.229
12	25.576	4	0.71	0.6	1.454	1	672.546
0	0.101	4	0.71	0.8	1.454	1	0.045
