{1, 0.9997995142267856, 0, 1.110223024646024*^-16, 1.110223024646024*^-16}	{1, 0.9997995142267856, 0.1, -0.0009999999999994545, 5.456789534119544*^-16}	{1, 0.9997995142267856, 0.2, 0.0010000000000001843, 1.842059491052872*^-16}	{1, 0.9997995142267856, 0.3, 0.006000000000000447, 4.466912950640278*^-16}	{1, 0.9997995142267856, 0.4, 0.009000000000002936, 2.936019483090746*^-15}	{1, 0.9997995142267856, 0.5, 0.008000000000001738, 1.7381929229287607*^-15}	{1, 0.9997995142267856, 0.6, 0.0010000000000001843, 1.842059491052872*^-16}	{1, 0.9997995142267856, 0.7, -0.005999999999997317, 2.682749855598132*^-15}	{1, 0.9997995142267856, 0.8, -0.010999999999997944, 2.0556473190325164*^-15}	{1, 0.9997995142267856, 0.9, -0.00899999999999796, 2.040034807748725*^-15}	{1, 0.9997995142267856, 1, -0.0029999999999993296, 6.70687463899533*^-16}	{1, 0.9997995142267856, 1.1, 0.0020000000000026576, 2.6575963651964685*^-15}	{1, 0.9997995142267856, 1.2, 0.0010000000000001843, 1.842059491052872*^-16}	{1, 0.9997995142267856, 1.3, -0.005999999999997317, 2.682749855598132*^-15}	{1, 0.9997995142267856, 1.4, -0.015999999999996205, 3.797309688913231*^-15}	{1, 0.9997995142267856, 1.5, -0.020999999999996508, 3.4919983571413127*^-15}	{1, 0.9997995142267856, 1.6, -0.018999999999999982, 1.734723475976807*^-17}	{1, 0.9997995142267856, 1.7, -0.00899999999999796, 2.040034807748725*^-15}	{1, 0.9997995142267856, 1.8, 0.0020000000000026576, 2.6575963651964685*^-15}	{1, 0.9997995142267856, 2, 0.0020000000000026576, 2.6575963651964685*^-15}	{1, 0.9997995142267856, 2.2, -0.017999999999993518, 6.480926906249351*^-15}	{1, 0.9997995142267856, 2.4, -0.011999999999998158, 1.8431436932253575*^-15}	{1, 0.9997995142267856, 2.6, 0.009000000000002936, 2.936019483090746*^-15}	{1, 0.9997995142267856, 2.8, -0.0009999999999994545, 5.456789534119544*^-16}	{1, 0.9997995142267856, 3, -0.018999999999999982, 1.734723475976807*^-17}
{2, 0.9993092604127665, 0, 1.1102230246324658*^-16, 1.1102230246324658*^-16}	{2, 0.9993092604127665, 0.1, -0.01999999999999561, 4.388850394221322*^-15}	{2, 0.9993092604127665, 0.2, -0.03999999999999512, 4.881511861398735*^-15}	{2, 0.9993092604127665, 0.3, -0.05899999999999487, 5.127842594987442*^-15}	{2, 0.9993092604127665, 0.4, -0.07699999999999976, 2.3592239273284576*^-16}	{2, 0.9993092604127665, 0.5, -0.0939999999999798, 2.0199120154273942*^-14}	{2, 0.9993092604127665, 0.6, -0.11099999999999377, 6.224187831804784*^-15}	{2, 0.9993092604127665, 0.7, -0.12699999999997452, 2.5465740627339528*^-14}	{2, 0.9993092604127665, 0.8, -0.14299999999997995, 2.0039525594484076*^-14}	{2, 0.9993092604127665, 0.85, -0.1509999999999994, 5.967448757360216*^-16}	{2, 0.9993092604127665, 0.9, -0.157999999999954, 4.6004866582904924*^-14}	{2, 0.9993092604127665, 1, -0.17199999999999468, 5.3013149425851225*^-15}	{2, 0.9993092604127665, 1.1, -0.1859999999999568, 4.3173797870110775*^-14}	{2, 0.9993092604127665, 1.2, -0.1999999999999797, 2.033095913844818*^-14}	{2, 0.9993092604127665, 1.3, -0.21299999999995228, 4.7725712271073917*^-14}	{2, 0.9993092604127665, 1.4, -0.22499999999996026, 3.9745984281580604*^-14}	{2, 0.9993092604127665, 1.5, -0.23799999999999416, 5.814793091474257*^-15}	{2, 0.9993092604127665, 1.6, -0.2499999999999769, 2.3078761124395442*^-14}	{2, 0.9993092604127665, 1.7, -0.26099999999999907, 9.43689570931383*^-16}	{2, 0.9993092604127665, 1.8, -0.27199999999999913, 9.159339953157541*^-16}	{2, 0.9993092604127665, 1.9, -0.28299999999992487, 7.507883204027621*^-14}	{2, 0.9993092604127665, 2, -0.2939999999999367, 6.328271240363392*^-14}	{2, 0.9993092604127665, 2.1, -0.30399999999997596, 2.403632848313464*^-14}	{2, 0.9993092604127665, 2.2, -0.3139999999999392, 6.075695502261169*^-14}	{2, 0.9993092604127665, 2.4, -0.33299999999999996, 5.551115123125783*^-17}	{2, 0.9993092604127665, 2.6, -0.35099999999997655, 2.3453461395206432*^-14}	{2, 0.9993092604127665, 2.8, -0.3679999999999929, 7.077671781985373*^-15}	{2, 0.9993092604127665, 3, -0.3839999999999785, 2.148281552649678*^-14}
{3, 0.9939228430913845, 0, 1.1102230246258557*^-16, 1.1102230246258557*^-16}	{3, 0.9939228430913845, 0.4, -0.07199999999999773, 2.2690183065776637*^-15}	{3, 0.9939228430913845, 0.8, -0.13899999999999635, 3.649858193455202*^-15}	{3, 0.9939228430913845, 1.2, -0.20099999999999535, 4.676814491233472*^-15}	{3, 0.9939228430913845, 1.4, -0.22999999999999865, 1.3600232051658168*^-15}	{3, 0.9939228430913845, 1.5, -0.24399999999999883, 1.1518563880486*^-15}	{3, 0.9939228430913845, 1.6, -0.2569999999999958, 4.218847493575595*^-15}	{3, 0.9939228430913845, 1.8, -0.2839999999999908, 9.159339953157541*^-15}	{3, 0.9939228430913845, 2, -0.30899999999999495, 5.023759186428833*^-15}	{3, 0.9939228430913845, 2.2, -0.3317837881215237, 0.0012162118784763143}	{3, 0.9939228430913845, 2.4, -0.35699999999999144, 8.576472865229334*^-15}	{3, 0.9939228430913845, 2.6, -0.37899999999999756, 2.4424906541753444*^-15}	{3, 0.9939228430913845, 2.8, -0.39999999999999575, 4.274358644806853*^-15}	{3, 0.9939228430913845, 3, -0.4209999999999897, 1.0269562977782698*^-14}	{3, 0.9939228430913845, 0.2, -0.03699999999999997, 2.7755575615628914*^-17}	{3, 0.9939228430913845, 0.6, -0.10599999999999915, 8.534839501805891*^-16}	{3, 0.9939228430913845, 1, -0.16999999999999577, 4.232725281383409*^-15}
{4, 0.8570829657982074, 0, 1.1102230246251743*^-16, 1.1102230246251743*^-16}	{4, 0.8570829657982074, 0.2, -0.03199999999999989, 1.0755285551056204*^-16}	{4, 0.8570829657982074, 0.5, -0.07774999999999996, 0.0002500000000000349}	{4, 0.8570829657982074, 0.7, -0.10749999999999993, 0.0005000000000000698}	{4, 0.8570829657982074, 0.8, -0.12174999999999997, 0.0002500000000000349}	{4, 0.8570829657982074, 1, -0.14974999999999997, 0.000250000000000028}	{4, 0.8570829657982074, 1.2, -0.17749999999999994, 0.0005000000000000698}	{4, 0.8570829657982074, 1.4, -0.20349999999999993, 0.000500000000000056}	{4, 0.8570829657982074, 1.5, -0.21624999999999872, 0.0007500000000012774}	{4, 0.8570829657982074, 1.6, -0.22924999999999873, 0.0007500000000012774}	{4, 0.8570829657982074, 1.8, -0.25324999999999875, 0.0007500000000012774}	{4, 0.8570829657982074, 2, -0.27699999999992597, 0.0010000000000740528}	{4, 0.8570829657982074, 2.2, -0.29974999999999996, 0.0012500000000000566}	{4, 0.8570829657982074, 2.5, -0.33249999999998225, 0.0015000000000177927}	{4, 0.8570829657982074, 2.6, -0.3427499999999999, 0.0012500000000000566}	{4, 0.8570829657982074, 2.8, -0.36249999999998217, 0.0015000000000177927}	{4, 0.8570829657982074, 3, -0.3824999999999822, 0.0015000000000177927}
{5, 0.4588899323465369, 0, 1.110223024625179*^-16, 1.110223024625179*^-16}	{5, 0.4588899323465369, 0.2, -0.023223904543423324, 0.004776095456576677}	{5, 0.4588899323465369, 0.3, -0.031447811709523946, 0.00955218829047606}	{5, 0.4588899323465369, 0.6, -0.06189562342284166, 0.01910437657715834}	{5, 0.4588899323465369, 0.9, -0.09273148199278948, 0.026268518007210515}	{5, 0.4588899323465369, 1.2, -0.12256734097458714, 0.033432659025412856}	{5, 0.4588899323465369, 1.4, -0.1417912468427484, 0.038208753157251585}	{5, 0.4588899323465369, 1.6, -0.1600151527008005, 0.04298484729919952}	{5, 0.4588899323465369, 1.8, -0.17723905855697875, 0.047760941443021274}	{5, 0.4588899323465369, 2, -0.19685101148490086, 0.05014898851509912}	{5, 0.4588899323465369, 2.1, -0.2044629644127871, 0.05253703558721291}	{5, 0.4588899323465369, 2.2, -0.21546296441278734, 0.05253703558721269}	{5, 0.4588899323465369, 2.4, -0.23068687026851897, 0.057313129731481005}	{5, 0.4588899323465369, 2.6, -0.24829882319637736, 0.05970117680362262}	{5, 0.4588899323465369, 2.8, -0.26491077612423436, 0.06208922387576567}	{5, 0.4588899323465369, 3, -0.2805227290520902, 0.06447727094790981}
