Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
0	2	2	0.71	0	0.969	1	0.217
1	3.02	2	0.71	0	0.969	1	0.024
2	3.848	2	0.71	0	0.969	1	0.015
3	4.148	2	0.71	0	0.969	1	0.015
4	4.421	2	0.71	0	0.969	1	0.016
5	4.302	2	0.71	0	0.969	1	0.015
6	4.315	2	0.71	0	0.969	1	0.012
7	4.316	2	0.71	0	0.969	1	0.013
8	4.312	2	0.71	0	0.969	1	0.017
9	4.312	2	0.71	0	0.969	1	0.019
10	4.31	2	0.71	0	0.969	1	0.017
11	4.308	2	0.71	0	0.969	1	0.022
12	4.307	2	0.71	0	0.969	1	0.025
13	4.306	2	0.71	0	0.969	1	0.03
14	4.306	2	0.71	0	0.969	1	0.045
15	4.306	2	0.71	0	0.969	1	0.051
16	4.306	2	0.71	0	0.969	1	0.058
17	4.306	2	0.71	0	0.969	1	0.078
18	4.306	2	0.71	0	0.969	1	0.079
19	4.306	2	0.71	0	0.969	1	0.115
20	4.306	2	0.71	0	0.969	1	0.135
0	1.922	2	0.71	0.2	0.969	1	0.013
1	3.067	2	0.71	0.2	0.969	1	0.013
2	4.343	2	0.71	0.2	0.969	1	0.013
3	5.073	2	0.71	0.2	0.969	1	0.013
4	5.403	2	0.71	0.2	0.969	1	0.014
5	5.438	2	0.71	0.2	0.969	1	0.014
6	5.517	2	0.71	0.2	0.969	1	0.014
7	5.56	2	0.71	0.2	0.969	1	0.016
8	5.544	2	0.71	0.2	0.969	1	0.015
9	5.543	2	0.71	0.2	0.969	1	0.017
10	5.557	2	0.71	0.2	0.969	1	0.021
11	5.56	2	0.71	0.2	0.969	1	0.023
12	5.568	2	0.71	0.2	0.969	1	0.027
13	5.568	2	0.71	0.2	0.969	1	0.036
14	5.571	2	0.71	0.2	0.969	1	0.045
15	5.571	2	0.71	0.2	0.969	1	0.049
16	5.571	2	0.71	0.2	0.969	1	0.067
17	5.571	2	0.71	0.2	0.969	1	0.089
18	5.571	2	0.71	0.2	0.969	1	0.096
19	5.571	2	0.71	0.2	0.969	1	0.098
20	5.571	2	0.71	0.2	0.969	1	0.128
0	1.746	2	0.71	0.4	0.969	1	0.009
1	2.896	2	0.71	0.4	0.969	1	0.009
2	4.25	2	0.71	0.4	0.969	1	0.009
3	4.867	2	0.71	0.4	0.969	1	0.012
4	5.436	2	0.71	0.4	0.969	1	0.012
5	5.65	2	0.71	0.4	0.969	1	0.011
6	5.738	2	0.71	0.4	0.969	1	0.012
7	5.811	2	0.71	0.4	0.969	1	0.015
8	5.815	2	0.71	0.4	0.969	1	0.015
9	5.847	2	0.71	0.4	0.969	1	0.015
10	5.853	2	0.71	0.4	0.969	1	0.02
11	5.86	2	0.71	0.4	0.969	1	0.023
12	5.859	2	0.71	0.4	0.969	1	0.029
13	5.86	2	0.71	0.4	0.969	1	0.03
14	5.855	2	0.71	0.4	0.969	1	0.043
15	5.856	2	0.71	0.4	0.969	1	0.056
16	5.856	2	0.71	0.4	0.969	1	0.06
17	5.856	2	0.71	0.4	0.969	1	0.071
18	5.856	2	0.71	0.4	0.969	1	0.108
19	5.856	2	0.71	0.4	0.969	1	0.116
20	5.856	2	0.71	0.4	0.969	1	0.147
0	1.566	2	0.71	0.6	0.969	1	0.011
1	2.737	2	0.71	0.6	0.969	1	0.011
2	3.841	2	0.71	0.6	0.969	1	0.012
3	4.407	2	0.71	0.6	0.969	1	0.01
4	4.995	2	0.71	0.6	0.969	1	0.012
5	5.291	2	0.71	0.6	0.969	1	0.013
6	5.375	2	0.71	0.6	0.969	1	0.011
7	5.479	2	0.71	0.6	0.969	1	0.017
8	5.463	2	0.71	0.6	0.969	1	0.017
9	5.495	2	0.71	0.6	0.969	1	0.016
10	5.482	2	0.71	0.6	0.969	1	0.018
11	5.493	2	0.71	0.6	0.969	1	0.021
12	5.493	2	0.71	0.6	0.969	1	0.028
13	5.491	2	0.71	0.6	0.969	1	0.033
14	5.49	2	0.71	0.6	0.969	1	0.041
15	5.489	2	0.71	0.6	0.969	1	0.053
16	5.489	2	0.71	0.6	0.969	1	0.071
17	5.489	2	0.71	0.6	0.969	1	0.109
18	5.489	2	0.71	0.6	0.969	1	0.092
19	5.489	2	0.71	0.6	0.969	1	0.102
20	5.489	2	0.71	0.6	0.969	1	0.14
0	1.423	2	0.71	0.8	0.969	1	0.009
1	2.536	2	0.71	0.8	0.969	1	0.009
2	3.476	2	0.71	0.8	0.969	1	0.009
3	4.08	2	0.71	0.8	0.969	1	0.009
4	4.657	2	0.71	0.8	0.969	1	0.025
5	4.858	2	0.71	0.8	0.969	1	0.016
6	4.908	2	0.71	0.8	0.969	1	0.012
7	5.043	2	0.71	0.8	0.969	1	0.013
8	4.932	2	0.71	0.8	0.969	1	0.013
9	4.961	2	0.71	0.8	0.969	1	0.019
10	4.98	2	0.71	0.8	0.969	1	0.022
11	4.983	2	0.71	0.8	0.969	1	0.027
12	4.995	2	0.71	0.8	0.969	1	0.03
13	4.984	2	0.71	0.8	0.969	1	0.032
14	4.984	2	0.71	0.8	0.969	1	0.036
15	4.983	2	0.71	0.8	0.969	1	0.054
16	4.984	2	0.71	0.8	0.969	1	0.063
17	4.983	2	0.71	0.8	0.969	1	0.072
18	4.984	2	0.71	0.8	0.969	1	0.085
19	4.984	2	0.71	0.8	0.969	1	0.102
20	4.984	2	0.71	0.8	0.969	1	0.127
0	1.32	2	0.71	1	0.969	1	0.009
1	1.951	2	0.71	1	0.969	1	0.009
2	2.503	2	0.71	1	0.969	1	0.009
3	3.057	2	0.71	1	0.969	1	0.009
4	3.467	2	0.71	1	0.969	1	0.01
5	3.781	2	0.71	1	0.969	1	0.01
6	3.955	2	0.71	1	0.969	1	0.011
7	4.026	2	0.71	1	0.969	1	0.013
8	4.039	2	0.71	1	0.969	1	0.016
9	4.058	2	0.71	1	0.969	1	0.015
10	4.05	2	0.71	1	0.969	1	0.019
11	4.054	2	0.71	1	0.969	1	0.026
12	4.056	2	0.71	1	0.969	1	0.027
13	4.055	2	0.71	1	0.969	1	0.036
14	4.055	2	0.71	1	0.969	1	0.043
15	4.055	2	0.71	1	0.969	1	0.048
16	4.054	2	0.71	1	0.969	1	0.078
17	4.054	2	0.71	1	0.969	1	0.08
18	4.054	2	0.71	1	0.969	1	0.089
19	4.054	2	0.71	1	0.969	1	0.113
20	4.055	2	0.71	1	0.969	1	0.143
0	1.246	2	0.71	1.2	0.969	1	0.013
1	1.545	2	0.71	1.2	0.969	1	0.012
2	1.816	2	0.71	1.2	0.969	1	0.012
3	2.045	2	0.71	1.2	0.969	1	0.009
4	2.221	2	0.71	1.2	0.969	1	0.01
5	2.38	2	0.71	1.2	0.969	1	0.01
6	2.502	2	0.71	1.2	0.969	1	0.011
7	2.569	2	0.71	1.2	0.969	1	0.012
8	2.595	2	0.71	1.2	0.969	1	0.013
9	2.627	2	0.71	1.2	0.969	1	0.017
10	2.613	2	0.71	1.2	0.969	1	0.017
11	2.617	2	0.71	1.2	0.969	1	0.021
12	2.615	2	0.71	1.2	0.969	1	0.025
13	2.613	2	0.71	1.2	0.969	1	0.029
14	2.612	2	0.71	1.2	0.969	1	0.038
15	2.612	2	0.71	1.2	0.969	1	0.045
16	2.612	2	0.71	1.2	0.969	1	0.063
17	2.612	2	0.71	1.2	0.969	1	0.073
18	2.612	2	0.71	1.2	0.969	1	0.078
19	2.612	2	0.71	1.2	0.969	1	0.097
20	2.612	2	0.71	1.2	0.969	1	0.136
0	1.193	2	0.71	1.4	0.969	1	0.009
1	1.399	2	0.71	1.4	0.969	1	0.009
2	1.809	2	0.71	1.4	0.969	1	0.009
3	1.995	2	0.71	1.4	0.969	1	0.014
4	2.226	2	0.71	1.4	0.969	1	0.014
5	2.327	2	0.71	1.4	0.969	1	0.014
6	2.406	2	0.71	1.4	0.969	1	0.016
7	2.455	2	0.71	1.4	0.969	1	0.014
8	2.499	2	0.71	1.4	0.969	1	0.015
9	2.503	2	0.71	1.4	0.969	1	0.019
10	2.502	2	0.71	1.4	0.969	1	0.023
11	2.498	2	0.71	1.4	0.969	1	0.027
12	2.497	2	0.71	1.4	0.969	1	0.028
13	2.497	2	0.71	1.4	0.969	1	0.031
14	2.498	2	0.71	1.4	0.969	1	0.041
15	2.495	2	0.71	1.4	0.969	1	0.053
16	2.495	2	0.71	1.4	0.969	1	0.058
17	2.495	2	0.71	1.4	0.969	1	0.062
18	2.495	2	0.71	1.4	0.969	1	0.098
19	2.495	2	0.71	1.4	0.969	1	0.11
20	2.495	2	0.71	1.4	0.969	1	0.149
0	1.155	2	0.71	1.6	0.969	1	0.013
1	1.744	2	0.71	1.6	0.969	1	0.011
2	2.091	2	0.71	1.6	0.969	1	0.012
3	2.39	2	0.71	1.6	0.969	1	0.009
4	2.571	2	0.71	1.6	0.969	1	0.01
5	2.685	2	0.71	1.6	0.969	1	0.01
6	2.76	2	0.71	1.6	0.969	1	0.011
7	2.811	2	0.71	1.6	0.969	1	0.011
8	2.846	2	0.71	1.6	0.969	1	0.014
9	2.864	2	0.71	1.6	0.969	1	0.019
10	2.876	2	0.71	1.6	0.969	1	0.018
11	2.878	2	0.71	1.6	0.969	1	0.024
12	2.88	2	0.71	1.6	0.969	1	0.024
13	2.878	2	0.71	1.6	0.969	1	0.033
