Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
0	2	5	0.71	0	1.684	1	0.045
1	3.658	5	0.71	0	1.684	1	0.049
2	5.719	5	0.71	0	1.684	1	0.115
3	8.663	5	0.71	0	1.684	1	1.508
4	11.36	5	0.71	0	1.684	1	30.397
5	13.418	5	0.71	0	1.684	1	387.506
6	14.954	5	0.71	0	1.684	1	2393.085
7	16.227	5	0.71	0	1.684	1	8001.626
0	1.973	5	0.71	0.2	1.684	1	0.048
1	3.718	5	0.71	0.2	1.684	1	0.049
2	6.662	5	0.71	0.2	1.684	1	0.122
3	10.391	5	0.71	0.2	1.684	1	1.508
4	14.981	5	0.71	0.2	1.684	1	31.007
5	20.132	5	0.71	0.2	1.684	1	386.895
6	24.272	5	0.71	0.2	1.684	1	2395.07
7	29.201	5	0.71	0.2	1.684	1	8004.853
0	1.899	5	0.71	0.4	1.684	1	0.119
1	3.734	5	0.71	0.4	1.684	1	0.072
2	7.15	5	0.71	0.4	1.684	1	0.102
3	11.661	5	0.71	0.4	1.684	1	1.504
4	17.737	5	0.71	0.4	1.684	1	31.223
5	24.588	5	0.71	0.4	1.684	1	388.438
6	30.767	5	0.71	0.4	1.684	1	2391.292
7	37.476	5	0.71	0.4	1.684	1	8006.454
0	1.798	5	0.71	0.6	1.684	1	0.066
1	3.577	5	0.71	0.6	1.684	1	0.06
2	7.035	5	0.71	0.6	1.684	1	0.117
3	12.181	5	0.71	0.6	1.684	1	1.558
4	19.276	5	0.71	0.6	1.684	1	31.43
5	27.156	5	0.71	0.6	1.684	1	386.469
6	35.074	5	0.71	0.6	1.684	1	2400.911
7	42.569	5	0.71	0.6	1.684	1	8022.154
0	1.689	5	0.71	0.8	1.684	1	0.073
1	3.276	5	0.71	0.8	1.684	1	0.056
2	6.331	5	0.71	0.8	1.684	1	0.129
3	11.812	5	0.71	0.8	1.684	1	1.557
4	18.927	5	0.71	0.8	1.684	1	30.837
5	27.106	5	0.71	0.8	1.684	1	386.459
6	35.652	5	0.71	0.8	1.684	1	2403.15
7	44.758	5	0.71	0.8	1.684	1	8003.094
0	1.586	5	0.71	1	1.684	1	0.064
1	2.914	5	0.71	1	1.684	1	0.045
2	5.764	5	0.71	1	1.684	1	0.111
3	10.387	5	0.71	1	1.684	1	1.467
4	16.94	5	0.71	1	1.684	1	30.584
5	25.414	5	0.71	1	1.684	1	389.591
6	34.694	5	0.71	1	1.684	1	2395.067
7	44.19	5	0.71	1	1.684	1	8015.974
0	1.496	5	0.71	1.2	1.684	1	0.046
1	3.014	5	0.71	1.2	1.684	1	0.051
2	5.274	5	0.71	1.2	1.684	1	0.12
3	8.637	5	0.71	1.2	1.684	1	1.594
4	14.331	5	0.71	1.2	1.684	1	30.22
5	21.627	5	0.71	1.2	1.684	1	383.621
6	30.141	5	0.71	1.2	1.684	1	2414.013
7	40.011	5	0.71	1.2	1.684	1	8018.197
0	1.42	5	0.71	1.4	1.684	1	0.082
1	2.667	5	0.71	1.4	1.684	1	0.053
2	4.626	5	0.71	1.4	1.684	1	0.104
3	7.477	5	0.71	1.4	1.684	1	1.669
4	11.396	5	0.71	1.4	1.684	1	31.035
5	17.898	5	0.71	1.4	1.684	1	388.127
6	25.397	5	0.71	1.4	1.684	1	2399.931
7	32.973	5	0.71	1.4	1.684	1	8013.658
0	1.356	5	0.71	1.6	1.684	1	0.047
1	2.621	5	0.71	1.6	1.684	1	0.051
2	4.635	5	0.71	1.6	1.684	1	0.097
3	6.871	5	0.71	1.6	1.684	1	1.6
4	9.425	5	0.71	1.6	1.684	1	31.484
5	13.595	5	0.71	1.6	1.684	1	389.238
6	19.308	5	0.71	1.6	1.684	1	2403.274
7	24.745	5	0.71	1.6	1.684	1	8030.311
0	1.304	5	0.71	1.8	1.684	1	0.045
1	1.703	5	0.71	1.8	1.684	1	0.052
2	2.796	5	0.71	1.8	1.684	1	0.136
3	4.998	5	0.71	1.8	1.684	1	1.485
4	8.31	5	0.71	1.8	1.684	1	31.353
5	11.974	5	0.71	1.8	1.684	1	386.842
6	15.246	5	0.71	1.8	1.684	1	2405.571
7	18.443	5	0.71	1.8	1.684	1	8042.909
0	1.262	5	0.71	2	1.684	1	0.045
1	1.878	5	0.71	2	1.684	1	0.055
2	2.786	5	0.71	2	1.684	1	0.138
3	3.44	5	0.71	2	1.684	1	1.531
4	4.509	5	0.71	2	1.684	1	31.52
5	5.49	5	0.71	2	1.684	1	388.335
6	6.749	5	0.71	2	1.684	1	2406.716
7	7.746	5	0.71	2	1.684	1	8017.732
0	1.227	5	0.71	2.2	1.684	1	0.068
1	1.475	5	0.71	2.2	1.684	1	0.052
2	1.966	5	0.71	2.2	1.684	1	0.118
3	2.514	5	0.71	2.2	1.684	1	1.412
4	3.289	5	0.71	2.2	1.684	1	31.221
5	3.932	5	0.71	2.2	1.684	1	387.859
6	4.598	5	0.71	2.2	1.684	1	2406.91
7	5.322	5	0.71	2.2	1.684	1	8020.8
0	1.198	5	0.71	2.4	1.684	1	0.057
1	1.627	5	0.71	2.4	1.684	1	0.077
2	2.16	5	0.71	2.4	1.684	1	0.129
3	2.643	5	0.71	2.4	1.684	1	1.548
4	3.166	5	0.71	2.4	1.684	1	31.339
5	3.69	5	0.71	2.4	1.684	1	386.552
6	4.092	5	0.71	2.4	1.684	1	2408.971
7	4.523	5	0.71	2.4	1.684	1	8024.114
0	1.173	5	0.71	2.6	1.684	1	0.043
1	1.402	5	0.71	2.6	1.684	1	0.045
2	2.295	5	0.71	2.6	1.684	1	0.148
3	2.844	5	0.71	2.6	1.684	1	1.527
4	3.348	5	0.71	2.6	1.684	1	30.23
5	3.87	5	0.71	2.6	1.684	1	386.087
6	4.287	5	0.71	2.6	1.684	1	2398.684
7	4.716	5	0.71	2.6	1.684	1	8026.094
0	1.153	5	0.71	2.8	1.684	1	0.068
1	1.259	5	0.71	2.8	1.684	1	0.084
2	1.606	5	0.71	2.8	1.684	1	0.122
