Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
0	2	1	0.71	0	0.71	1	0.492
1	2.667	1	0.71	0	0.71	1	0.034
2	2.881	1	0.71	0	0.71	1	0.005
3	2.896	1	0.71	0	0.71	1	0.004
4	2.88	1	0.71	0	0.71	1	0.005
5	2.862	1	0.71	0	0.71	1	0.005
6	2.85	1	0.71	0	0.71	1	0.004
7	2.843	1	0.71	0	0.71	1	0.006
8	2.84	1	0.71	0	0.71	1	0.044
9	2.839	1	0.71	0	0.71	1	0.014
10	2.839	1	0.71	0	0.71	1	0.008
11	2.839	1	0.71	0	0.71	1	0.032
12	2.841	1	0.71	0	0.71	1	0.022
13	2.842	1	0.71	0	0.71	1	0.012
14	2.843	1	0.71	0	0.71	1	0.004
15	2.844	1	0.71	0	0.71	1	0.004
16	2.844	1	0.71	0	0.71	1	0.004
17	2.844	1	0.71	0	0.71	1	0.005
18	2.844	1	0.71	0	0.71	1	0.004
19	2.844	1	0.71	0	0.71	1	0.004
20	2.844	1	0.71	0	0.71	1	0.004
0	1.863	1	0.71	0.2	0.71	1	0.004
1	2.679	1	0.71	0.2	0.71	1	0.003
2	2.782	1	0.71	0.2	0.71	1	0.004
3	2.694	1	0.71	0.2	0.71	1	0.004
4	2.645	1	0.71	0.2	0.71	1	0.004
5	2.615	1	0.71	0.2	0.71	1	0.004
6	2.592	1	0.71	0.2	0.71	1	0.004
7	2.579	1	0.71	0.2	0.71	1	0.004
8	2.572	1	0.71	0.2	0.71	1	0.004
9	2.569	1	0.71	0.2	0.71	1	0.004
10	2.568	1	0.71	0.2	0.71	1	0.004
11	2.569	1	0.71	0.2	0.71	1	0.004
12	2.57	1	0.71	0.2	0.71	1	0.004
13	2.572	1	0.71	0.2	0.71	1	0.004
14	2.573	1	0.71	0.2	0.71	1	0.004
15	2.574	1	0.71	0.2	0.71	1	0.004
16	2.574	1	0.71	0.2	0.71	1	0.004
17	2.573	1	0.71	0.2	0.71	1	0.004
18	2.573	1	0.71	0.2	0.71	1	0.004
19	2.573	1	0.71	0.2	0.71	1	0.004
20	2.573	1	0.71	0.2	0.71	1	0.004
0	1.612	1	0.71	0.4	0.71	1	0.004
1	2.454	1	0.71	0.4	0.71	1	0.003
2	2.624	1	0.71	0.4	0.71	1	0.004
3	2.618	1	0.71	0.4	0.71	1	0.003
4	2.589	1	0.71	0.4	0.71	1	0.003
5	2.561	1	0.71	0.4	0.71	1	0.004
6	2.541	1	0.71	0.4	0.71	1	0.004
7	2.529	1	0.71	0.4	0.71	1	0.004
8	2.523	1	0.71	0.4	0.71	1	0.004
9	2.521	1	0.71	0.4	0.71	1	0.004
10	2.521	1	0.71	0.4	0.71	1	0.004
11	2.521	1	0.71	0.4	0.71	1	0.005
12	2.523	1	0.71	0.4	0.71	1	0.005
13	2.524	1	0.71	0.4	0.71	1	0.006
14	2.526	1	0.71	0.4	0.71	1	0.005
15	2.526	1	0.71	0.4	0.71	1	0.005
16	2.526	1	0.71	0.4	0.71	1	0.006
17	2.525	1	0.71	0.4	0.71	1	0.006
18	2.525	1	0.71	0.4	0.71	1	0.006
19	2.525	1	0.71	0.4	0.71	1	0.006
20	2.525	1	0.71	0.4	0.71	1	0.011
0	1.412	1	0.71	0.6	0.71	1	0.009
1	2.001	1	0.71	0.6	0.71	1	0.006
2	2.262	1	0.71	0.6	0.71	1	0.003
3	2.381	1	0.71	0.6	0.71	1	0.003
4	2.411	1	0.71	0.6	0.71	1	0.003
5	2.409	1	0.71	0.6	0.71	1	0.003
6	2.398	1	0.71	0.6	0.71	1	0.004
7	2.386	1	0.71	0.6	0.71	1	0.004
8	2.38	1	0.71	0.6	0.71	1	0.004
9	2.379	1	0.71	0.6	0.71	1	0.004
10	2.379	1	0.71	0.6	0.71	1	0.004
11	2.38	1	0.71	0.6	0.71	1	0.004
12	2.382	1	0.71	0.6	0.71	1	0.004
13	2.383	1	0.71	0.6	0.71	1	0.004
14	2.385	1	0.71	0.6	0.71	1	0.004
15	2.384	1	0.71	0.6	0.71	1	0.004
16	2.384	1	0.71	0.6	0.71	1	0.004
17	2.384	1	0.71	0.6	0.71	1	0.004
18	2.384	1	0.71	0.6	0.71	1	0.004
19	2.384	1	0.71	0.6	0.71	1	0.004
20	2.384	1	0.71	0.6	0.71	1	0.004
0	1.283	1	0.71	0.8	0.71	1	0.004
1	1.58	1	0.71	0.8	0.71	1	0.004
2	1.804	1	0.71	0.8	0.71	1	0.004
3	1.953	1	0.71	0.8	0.71	1	0.004
4	2.007	1	0.71	0.8	0.71	1	0.004
5	2.021	1	0.71	0.8	0.71	1	0.004
6	2.022	1	0.71	0.8	0.71	1	0.004
7	2.018	1	0.71	0.8	0.71	1	0.005
8	2.016	1	0.71	0.8	0.71	1	0.005
9	2.014	1	0.71	0.8	0.71	1	0.005
10	2.014	1	0.71	0.8	0.71	1	0.004
11	2.015	1	0.71	0.8	0.71	1	0.004
12	2.016	1	0.71	0.8	0.71	1	0.004
13	2.017	1	0.71	0.8	0.71	1	0.004
14	2.018	1	0.71	0.8	0.71	1	0.005
15	2.018	1	0.71	0.8	0.71	1	0.004
16	2.017	1	0.71	0.8	0.71	1	0.004
17	2.017	1	0.71	0.8	0.71	1	0.004
18	2.017	1	0.71	0.8	0.71	1	0.004
19	2.017	1	0.71	0.8	0.71	1	0.004
20	2.017	1	0.71	0.8	0.71	1	0.004
0	1.201	1	0.71	1	0.71	1	0.004
1	1.345	1	0.71	1	0.71	1	0.004
2	1.682	1	0.71	1	0.71	1	0.004
3	1.827	1	0.71	1	0.71	1	0.005
4	1.855	1	0.71	1	0.71	1	0.005
5	1.848	1	0.71	1	0.71	1	0.005
6	1.835	1	0.71	1	0.71	1	0.005
7	1.825	1	0.71	1	0.71	1	0.005
8	1.821	1	0.71	1	0.71	1	0.006
9	1.82	1	0.71	1	0.71	1	0.006
10	1.82	1	0.71	1	0.71	1	0.006
11	1.82	1	0.71	1	0.71	1	0.006
12	1.821	1	0.71	1	0.71	1	0.006
