Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
0	2	4	0.71	0	1.454	1	0.055
1	3.423	4	0.71	0	1.454	1	0.039
2	5.138	4	0.71	0	1.454	1	0.072
3	6.98	4	0.71	0	1.454	1	0.119
4	8.459	4	0.71	0	1.454	1	0.453
5	9.601	4	0.71	0	1.454	1	2.651
6	10.41	4	0.71	0	1.454	1	13.612
7	11.051	4	0.71	0	1.454	1	55.585
8	11.41	4	0.71	0	1.454	1	171.109
9	11.602	4	0.71	0	1.454	1	342.67
10	11.755	4	0.71	0	1.454	1	461.122
11	11.8	4	0.71	0	1.454	1	524.546
12	11.847	4	0.71	0	1.454	1	590.236
0	1.964	4	0.71	0.2	1.454	1	0.058
1	3.824	4	0.71	0.2	1.454	1	0.057
2	5.698	4	0.71	0.2	1.454	1	0.064
3	8.218	4	0.71	0.2	1.454	1	0.105
4	11.075	4	0.71	0.2	1.454	1	0.426
5	13.715	4	0.71	0.2	1.454	1	2.534
6	15.666	4	0.71	0.2	1.454	1	13.741
7	16.944	4	0.71	0.2	1.454	1	56.356
8	17.834	4	0.71	0.2	1.454	1	173.05
9	18.343	4	0.71	0.2	1.454	1	344.333
10	18.606	4	0.71	0.2	1.454	1	461.883
11	18.698	4	0.71	0.2	1.454	1	585.28
12	18.813	4	0.71	0.2	1.454	1	647.59
0	1.868	4	0.71	0.4	1.454	1	0.092
1	3.91	4	0.71	0.4	1.454	1	0.082
2	6.005	4	0.71	0.4	1.454	1	0.064
3	9.207	4	0.71	0.4	1.454	1	0.107
4	12.99	4	0.71	0.4	1.454	1	0.485
5	16.575	4	0.71	0.4	1.454	1	2.543
6	19.064	4	0.71	0.4	1.454	1	13.597
7	20.695	4	0.71	0.4	1.454	1	56.51
8	21.797	4	0.71	0.4	1.454	1	173.523
9	22.615	4	0.71	0.4	1.454	1	347.762
10	23.107	4	0.71	0.4	1.454	1	523.819
11	23.388	4	0.71	0.4	1.454	1	586.243
12	23.581	4	0.71	0.4	1.454	1	702.176
0	1.746	4	0.71	0.6	1.454	1	0.048
1	3.737	4	0.71	0.6	1.454	1	0.042
2	5.887	4	0.71	0.6	1.454	1	0.07
3	9.481	4	0.71	0.6	1.454	1	0.114
4	13.468	4	0.71	0.6	1.454	1	0.433
5	16.925	4	0.71	0.6	1.454	1	2.564
6	19.408	4	0.71	0.6	1.454	1	13.579
7	21.258	4	0.71	0.6	1.454	1	56.195
8	22.638	4	0.71	0.6	1.454	1	173.16
9	23.85	4	0.71	0.6	1.454	1	346.389
10	24.672	4	0.71	0.6	1.454	1	517.69
11	25.209	4	0.71	0.6	1.454	1	639.938
12	25.588	4	0.71	0.6	1.454	1	704.359
0	1.623	4	0.71	0.8	1.454	1	0.076
