Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6
1	1.7491	3.0418	1	0.7	0.7
2	1.9967	4.5022	1	0.7	0.7
3	2.1567	5.301	1	0.7	0.7
4	2.224	5.6919	1	0.7	0.7
5	2.2527	5.886	1	0.7	0.7
6	2.2665	5.9822	1	0.7	0.7
7	2.2733	6.03	1	0.7	0.7
8	2.2764	6.0538	1	0.7	0.7
9	2.2779	6.0656	1	0.7	0.7
10	2.2782	6.0716	1	0.7	0.7
11	2.2786	6.0745	1	0.7	0.7
12	2.2789	6.076	1	0.7	0.7
13	2.2789	6.0768	1	0.7	0.7
