Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6
1	2.6744	7.1984	2	0.7	0.9555
2	3.6805	13.9053	2	0.7	0.9555
3	4.2547	18.7869	2	0.7	0.9555
4	4.8643	21.7479	2	0.7	0.9555
5	5.0742	23.2795	2	0.7	0.9555
6	5.173	24.0474	2	0.7	0.9555
7	5.2832	24.4635	2	0.7	0.9555
8	5.2041	24.6387	2	0.7	0.9555
9	5.2578	24.7439	2	0.7	0.9555
10	5.2453	24.7898	2	0.7	0.9555
11	5.2474	24.8139	2	0.7	0.9555
12	5.2523	24.8262	2	0.7	0.9555
13	5.2521	24.8322	2	0.7	0.9555
