{1, 0.9997995142267856, 0, 2.84400000000097, 9.703349235223868*^-13}	{1, 0.9997995142267856, 0.2, 2.57300000000079, 7.898126597183364*^-13}	{1, 0.9997995142267856, 0.4, 2.5250000000010004, 1.0007550343971161*^-12}	{1, 0.9997995142267856, 0.6, 2.3840000000006256, 6.254996520738132*^-13}	{1, 0.9997995142267856, 0.8, 2.0170789472873096, 0.00007894728730972744}	{1, 0.9997995142267856, 1, 1.8230507829106415, 0.00005078291064153362}	{1, 0.9997995142267856, 1.2, 2.419000000000583, 5.830891325331322*^-13}	{1, 0.9997995142267856, 1.4, 1.6840000000002366, 2.3669954885008337*^-13}	{1, 0.9997995142267856, 1.6, 1.344113207890362, 0.00011320789036173284}	{1, 0.9997995142267856, 1.8, 1.2930000000001263, 1.2634338020234281*^-13}	{1, 0.9997995142267856, 2, 2.211087220977368, 0.00008722097736812984}	{1, 0.9997995142267856, 2.2, 1.2330000000000196, 1.9539925233402755*^-14}	{1, 0.9997995142267856, 2.4, 1.1320894952287617, 0.00008949522876167126}	{1, 0.9997995142267856, 2.6, 1.1310894354807526, 0.00008943548075257546}	{1, 0.9997995142267856, 2.8, 1.1680937523423047, 0.0000937523423046871}	{1, 0.9997995142267856, 3, 1.0590615250696676, 0.00006152506966750071}
{2, 0.9993092604127665, 0, 4.306000000000401, 4.001243780749064*^-13}	{2, 0.9993092604127665, 0.2, 5.571000000000414, 4.1389114358025836*^-13}	{2, 0.9993092604127665, 0.4, 5.856000000000368, 3.681499549657019*^-13}	{2, 0.9993092604127665, 0.6, 5.489000000001065, 1.0653700144303002*^-12}	{2, 0.9993092604127665, 0.8, 4.984000000000002, 1.3322676295501878*^-15}	{2, 0.9993092604127665, 1, 4.056206528552817, 0.0012065285528168879}	{2, 0.9993092604127665, 1.2, 2.6120000000003554, 3.554934124849751*^-13}	{2, 0.9993092604127665, 1.4, 2.495000000000222, 2.2226664952995634*^-13}	{2, 0.9993092604127665, 1.6, 2.8840000000004435, 4.4364512064021255*^-13}	{2, 0.9993092604127665, 1.8, 2.458000000000009, 8.881784197001252*^-15}	{2, 0.9993092604127665, 2, 1.5360000000000906, 9.070522111187529*^-14}	{2, 0.9993092604127665, 2.2, 2.0871798325334305, 0.00017983253343012429}	{2, 0.9993092604127665, 2.4, 1.899684158342108, 0.0006841583421079989}	{2, 0.9993092604127665, 2.6, 1.259, 1.1102230246251565*^-16}	{2, 0.9993092604127665, 2.8, 1.5370000000000057, 5.662137425588298*^-15}	{2, 0.9993092604127665, 3, 2.078180571091029, 0.0001805710910289804}
{3, 0.998449968036507, 0, 6.7162500000000005, 0.0002500000000007496}	{3, 0.998449968036507, 0.2, 9.348000000000876, 8.766321002440236*^-13}	{3, 0.998449968036507, 0.4, 11.147938917496548, 0.00493891749654729}	{3, 0.998449968036507, 0.6, 11.788500000000496, 0.0005000000004953264}	{3, 0.998449968036507, 0.8, 11.142000000021934, 0.0010000000219347882}	{3, 0.998449968036507, 1, 9.070849190214776, 0.001849190214776364}	{3, 0.998449968036507, 1.2, 7.6684694587339255, 0.002469458733925123}	{3, 0.998449968036507, 1.4, 5.944234729366965, 0.001234729366965226}	{3, 0.998449968036507, 1.6, 4.061234729366964, 0.0012347293669647819}	{3, 0.998449968036507, 1.8, 3.4060000000000525, 5.240252676230739*^-14}	{3, 0.998449968036507, 2, 3.1710000000000047, 5.10702591327572*^-15}	{3, 0.998449968036507, 2.2, 2.765371878157257, 0.0003718781572572549}	{3, 0.998449968036507, 2.4, 1.7690976357646142, 0.00009763576461441215}	{3, 0.998449968036507, 2.6, 2.0762419616399024, 0.0002419616399025326}	{3, 0.998449968036507, 2.8, 1.708234729366965, 0.001234729366965115}	{3, 0.998449968036507, 3, 1.3122347293669647, 0.0012347293669646708}
{4, 0.964194100826695, 0, 11.904300662764857, 0.06330066276485713}	{4, 0.964194100826695, 0.2, 18.95209966382722, 0.14809966382721917}	{4, 0.964194100826695, 0.4, 23.81264783403987, 0.24364783403986934}	{4, 0.964194100826695, 0.6, 26.04418603403443, 0.46818603403442793}	{4, 0.964194100826695, 0.8, 24.12013122659674, 0.09913122659673768}	{4, 0.964194100826695, 1, 22.343588031909714, 0.2985880319097127}	{4, 0.964194100826695, 1.2, 18.195425242548886, 0.24842524254888687}	{4, 0.964194100826695, 1.4, 14.251312285101655, 0.2723122851016555}	{4, 0.964194100826695, 1.6, 9.612297339368848, 0.10629733936884733}	{4, 0.964194100826695, 1.8, 7.245046508517894, 0.11704650851789378}	{4, 0.964194100826695, 2, 5.209827240424165, 0.07882724042416456}	{4, 0.964194100826695, 2.2, 3.961191028896002, 0.04419102889600213}	{4, 0.964194100826695, 2.4, 3.4414136202309615, 0.0394136202309614}	{4, 0.964194100826695, 2.6, 2.528720929786957, 0.01672092978695705}	{4, 0.964194100826695, 2.8, 2.299692690807583, 0.02269269080758285}	{4, 0.964194100826695, 3, 2.7320000000009252, 0.0010000000009253718}
{5, 0.6428828883865063, 0, 19.16254957842561, 3.2505495784256118}	{5, 0.6428828883865063, 0.2, 39.86667717998724, 11.231677179987239}	{5, 0.6428828883865063, 0.4, 51.941555596490204, 15.192555596490205}	{5, 0.6428828883865063, 0.6, 58.74736403744143, 17.00336403744143}	{5, 0.6428828883865063, 0.8, 64.26477553756793, 20.374775537567928}	{5, 0.6428828883865063, 1, 64.4827159133836, 21.148715913383597}	{5, 0.6428828883865063, 1.2, 60.978423598940736, 21.742423598940743}	{5, 0.6428828883865063, 1.4, 49.11472365535569, 16.780723655355686}	{5, 0.6428828883865063, 1.6, 36.35219217027133, 12.086192170271332}	{5, 0.6428828883865063, 1.8, 25.350437609710454, 7.2644376097104555}	{5, 0.6428828883865063, 2, 9.94326574254217, 2.3472657425421692}	{5, 0.6428828883865063, 2.2, 6.90794651924671, 1.6899465192467105}	{5, 0.6428828883865063, 2.4, 5.500433064820598, 1.0644330648205984}	{5, 0.6428828883865063, 2.6, 5.688433064882532, 1.0644330648825324}	{5, 0.6428828883865063, 2.8, 3.642521533597268, 0.4495215335972682}	{5, 0.6428828883865063, 3, 2.66647499535094, 0.4134749953509398}
