Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10	Var1_11
0	0.147	4	0.708	0	1.37	0.7	1	1	1	0.048
1	1.159	4	0.708	0	1.37	0.7	1	1	1	0.036
2	3.048	4	0.708	0	1.37	0.7	1	1	1	0.058
3	5.188	4	0.708	0	1.37	0.7	1	1	1	0.101
4	6.933	4	0.708	0	1.37	0.7	1	1	1	0.453
5	8.059	4	0.708	0	1.37	0.7	1	1	1	2.378
6	8.697	4	0.708	0	1.37	0.7	1	1	1	12.996
7	9.128	4	0.708	0	1.37	0.7	1	1	1	52.093
8	9.381	4	0.708	0	1.37	0.7	1	1	1	159.76
9	9.536	4	0.708	0	1.37	0.7	1	1	1	319.484
10	9.632	4	0.708	0	1.37	0.7	1	1	1	378.721
11	9.674	4	0.708	0	1.37	0.7	1	1	1	487.074
12	9.676	4	0.708	0	1.37	0.7	1	1	1	497.376
0	0.144	4	0.708	0.2	1.37	0.7	1	1	1	0.041
1	1.235	4	0.708	0.2	1.37	0.7	1	1	1	0.045
2	3.349	4	0.708	0.2	1.37	0.7	1	1	1	0.049
3	6.37	4	0.708	0.2	1.37	0.7	1	1	1	0.106
4	8.81	4	0.708	0.2	1.37	0.7	1	1	1	0.432
5	11.375	4	0.708	0.2	1.37	0.7	1	1	1	2.34
6	13.129	4	0.708	0.2	1.37	0.7	1	1	1	12.659
7	14.293	4	0.708	0.2	1.37	0.7	1	1	1	51.625
8	14.787	4	0.708	0.2	1.37	0.7	1	1	1	160.967
9	15.139	4	0.708	0.2	1.37	0.7	1	1	1	320.043
10	15.373	4	0.708	0.2	1.37	0.7	1	1	1	430.726
11	15.492	4	0.708	0.2	1.37	0.7	1	1	1	487.464
12	15.547	4	0.708	0.2	1.37	0.7	1	1	1	603.052
0	0.132	4	0.708	0.5	1.37	0.7	1	1	1	0.039
1	1.338	4	0.708	0.5	1.37	0.7	1	1	1	0.047
2	3.527	4	0.708	0.5	1.37	0.7	1	1	1	0.042
3	6.986	4	0.708	0.5	1.37	0.7	1	1	1	0.084
4	11.338	4	0.708	0.5	1.37	0.7	1	1	1	0.381
5	14.816	4	0.708	0.5	1.37	0.7	1	1	1	2.41
6	17.171	4	0.708	0.5	1.37	0.7	1	1	1	13.083
7	18.746	4	0.708	0.5	1.37	0.7	1	1	1	52.725
8	19.485	4	0.708	0.5	1.37	0.7	1	1	1	160.712
9	20.366	4	0.708	0.5	1.37	0.7	1	1	1	319.688
10	20.965	4	0.708	0.5	1.37	0.7	1	1	1	484.939
11	21.331	4	0.708	0.5	1.37	0.7	1	1	1	542.248
12	21.607	4	0.708	0.5	1.37	0.7	1	1	1	658.769
0	0.122	4	0.708	0.7	1.37	0.7	1	1	1	0.058
1	1.196	4	0.708	0.7	1.37	0.7	1	1	1	0.038
2	3.414	4	0.708	0.7	1.37	0.7	1	1	1	0.042
3	6.834	4	0.708	0.7	1.37	0.7	1	1	1	0.085
4	10.683	4	0.708	0.7	1.37	0.7	1	1	1	0.442
5	14.388	4	0.708	0.7	1.37	0.7	1	1	1	2.384
6	16.732	4	0.708	0.7	1.37	0.7	1	1	1	12.816
7	18.185	4	0.708	0.7	1.37	0.7	1	1	1	52.538
8	19.279	4	0.708	0.7	1.37	0.7	1	1	1	161.564
9	19.987	4	0.708	0.7	1.37	0.7	1	1	1	321.919
10	20.671	4	0.708	0.7	1.37	0.7	1	1	1	485.642
11	21.076	4	0.708	0.7	1.37	0.7	1	1	1	595.366
12	21.332	4	0.708	0.7	1.37	0.7	1	1	1	654.395
0	0.117	4	0.708	0.8	1.37	0.7	1	1	1	0.048
