Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
15	2.613	1	0.724	0.4	0.73	0.8	0.005
16	2.613	1	0.724	0.4	0.73	0.8	0.007
17	2.613	1	0.724	0.4	0.73	0.8	0.005
18	2.613	1	0.724	0.4	0.73	0.8	0.006
19	2.613	1	0.724	0.4	0.73	0.8	0.006
20	2.613	1	0.724	0.4	0.73	0.8	0.006
0	0.842	1	0.724	0.5	0.73	0.8	0.004
1	1.844	1	0.724	0.5	0.73	0.8	0.005
2	2.317	1	0.724	0.5	0.73	0.8	0.005
3	2.495	1	0.724	0.5	0.73	0.8	0.004
4	2.549	1	0.724	0.5	0.73	0.8	0.005
5	2.559	1	0.724	0.5	0.73	0.8	0.004
6	2.558	1	0.724	0.5	0.73	0.8	0.005
7	2.556	1	0.724	0.5	0.73	0.8	0.004
8	2.555	1	0.724	0.5	0.73	0.8	0.005
9	2.555	1	0.724	0.5	0.73	0.8	0.005
10	2.555	1	0.724	0.5	0.73	0.8	0.005
11	2.555	1	0.724	0.5	0.73	0.8	0.004
12	2.556	1	0.724	0.5	0.73	0.8	0.004
13	2.556	1	0.724	0.5	0.73	0.8	0.004
14	2.557	1	0.724	0.5	0.73	0.8	0.004
15	2.557	1	0.724	0.5	0.73	0.8	0.005
16	2.557	1	0.724	0.5	0.73	0.8	0.004
17	2.557	1	0.724	0.5	0.73	0.8	0.004
18	2.557	1	0.724	0.5	0.73	0.8	0.004
19	2.557	1	0.724	0.5	0.73	0.8	0.005
20	2.557	1	0.724	0.5	0.73	0.8	0.005
0	0.792	1	0.724	0.6	0.73	0.8	0.005
1	1.645	1	0.724	0.6	0.73	0.8	0.004
2	2.11	1	0.724	0.6	0.73	0.8	0.005
3	2.329	1	0.724	0.6	0.73	0.8	0.006
4	2.404	1	0.724	0.6	0.73	0.8	0.005
5	2.424	1	0.724	0.6	0.73	0.8	0.005
6	2.426	1	0.724	0.6	0.73	0.8	0.006
7	2.424	1	0.724	0.6	0.73	0.8	0.005
8	2.423	1	0.724	0.6	0.73	0.8	0.007
9	2.423	1	0.724	0.6	0.73	0.8	0.006
10	2.423	1	0.724	0.6	0.73	0.8	0.006
11	2.423	1	0.724	0.6	0.73	0.8	0.005
12	2.424	1	0.724	0.6	0.73	0.8	0.006
13	2.425	1	0.724	0.6	0.73	0.8	0.005
14	2.425	1	0.724	0.6	0.73	0.8	0.006
15	2.425	1	0.724	0.6	0.73	0.8	0.006
16	2.425	1	0.724	0.6	0.73	0.8	0.006
17	2.425	1	0.724	0.6	0.73	0.8	0.005
18	2.425	1	0.724	0.6	0.73	0.8	0.005
19	2.425	1	0.724	0.6	0.73	0.8	0.006
20	2.425	1	0.724	0.6	0.73	0.8	0.006
0	0.751	1	0.724	0.7	0.73	0.8	0.004
1	1.453	1	0.724	0.7	0.73	0.8	0.004
2	1.877	1	0.724	0.7	0.73	0.8	0.005
3	2.108	1	0.724	0.7	0.73	0.8	0.005
4	2.197	1	0.724	0.7	0.73	0.8	0.004
5	2.227	1	0.724	0.7	0.73	0.8	0.004
6	2.236	1	0.724	0.7	0.73	0.8	0.005
7	2.237	1	0.724	0.7	0.73	0.8	0.004
8	2.236	1	0.724	0.7	0.73	0.8	0.004
9	2.236	1	0.724	0.7	0.73	0.8	0.005
10	2.237	1	0.724	0.7	0.73	0.8	0.005
11	2.237	1	0.724	0.7	0.73	0.8	0.005
12	2.238	1	0.724	0.7	0.73	0.8	0.004
13	2.238	1	0.724	0.7	0.73	0.8	0.005
14	2.239	1	0.724	0.7	0.73	0.8	0.005
15	2.239	1	0.724	0.7	0.73	0.8	0.006
16	2.239	1	0.724	0.7	0.73	0.8	0.006
17	2.239	1	0.724	0.7	0.73	0.8	0.007
18	2.239	1	0.724	0.7	0.73	0.8	0.006
19	2.239	1	0.724	0.7	0.73	0.8	0.006
20	2.239	1	0.724	0.7	0.73	0.8	0.007
0	0.719	1	0.724	0.8	0.73	0.8	0.005
1	1.298	1	0.724	0.8	0.73	0.8	0.005
2	1.682	1	0.724	0.8	0.73	0.8	0.005
3	1.906	1	0.724	0.8	0.73	0.8	0.006
4	1.991	1	0.724	0.8	0.73	0.8	0.005
5	2.019	1	0.724	0.8	0.73	0.8	0.005
6	2.028	1	0.724	0.8	0.73	0.8	0.005
7	2.031	1	0.724	0.8	0.73	0.8	0.005
8	2.03	1	0.724	0.8	0.73	0.8	0.005
9	2.03	1	0.724	0.8	0.73	0.8	0.005
10	2.031	1	0.724	0.8	0.73	0.8	0.005
11	2.031	1	0.724	0.8	0.73	0.8	0.004
12	2.031	1	0.724	0.8	0.73	0.8	0.005
13	2.032	1	0.724	0.8	0.73	0.8	0.005
14	2.032	1	0.724	0.8	0.73	0.8	0.006
15	2.032	1	0.724	0.8	0.73	0.8	0.005
16	2.032	1	0.724	0.8	0.73	0.8	0.006
17	2.032	1	0.724	0.8	0.73	0.8	0.005
18	2.032	1	0.724	0.8	0.73	0.8	0.006
19	2.032	1	0.724	0.8	0.73	0.8	0.006
20	2.032	1	0.724	0.8	0.73	0.8	0.006
0	0.693	1	0.724	0.9	0.73	0.8	0.005
1	1.182	1	0.724	0.9	0.73	0.8	0.005
2	1.561	1	0.724	0.9	0.73	0.8	0.005
3	1.776	1	0.724	0.9	0.73	0.8	0.004
4	1.847	1	0.724	0.9	0.73	0.8	0.005
5	1.865	1	0.724	0.9	0.73	0.8	0.005
6	1.867	1	0.724	0.9	0.73	0.8	0.005
7	1.864	1	0.724	0.9	0.73	0.8	0.005
8	1.863	1	0.724	0.9	0.73	0.8	0.004
9	1.863	1	0.724	0.9	0.73	0.8	0.004
10	1.864	1	0.724	0.9	0.73	0.8	0.005
11	1.864	1	0.724	0.9	0.73	0.8	0.005
12	1.864	1	0.724	0.9	0.73	0.8	0.004
13	1.865	1	0.724	0.9	0.73	0.8	0.004
14	1.865	1	0.724	0.9	0.73	0.8	0.005
15	1.865	1	0.724	0.9	0.73	0.8	0.005
16	1.865	1	0.724	0.9	0.73	0.8	0.005
17	1.865	1	0.724	0.9	0.73	0.8	0.006
18	1.865	1	0.724	0.9	0.73	0.8	0.006
19	1.865	1	0.724	0.9	0.73	0.8	0.005
20	1.865	1	0.724	0.9	0.73	0.8	0.006
0	0.672	1	0.724	1	0.73	0.8	0.006
1	1.099	1	0.724	1	0.73	0.8	0.005
2	1.545	1	0.724	1	0.73	0.8	0.006
3	1.756	1	0.724	1	0.73	0.8	0.016
4	1.814	1	0.724	1	0.73	0.8	0.005
5	1.824	1	0.724	1	0.73	0.8	0.006
6	1.822	1	0.724	1	0.73	0.8	0.005
7	1.819	1	0.724	1	0.73	0.8	0.005
8	1.817	1	0.724	1	0.73	0.8	0.006
9	1.818	1	0.724	1	0.73	0.8	0.005
10	1.818	1	0.724	1	0.73	0.8	0.005
11	1.818	1	0.724	1	0.73	0.8	0.005
12	1.819	1	0.724	1	0.73	0.8	0.006
13	1.819	1	0.724	1	0.73	0.8	0.006
14	1.82	1	0.724	1	0.73	0.8	0.005
15	1.819	1	0.724	1	0.73	0.8	0.006
16	1.819	1	0.724	1	0.73	0.8	0.006
17	1.819	1	0.724	1	0.73	0.8	0.005
18	1.819	1	0.724	1	0.73	0.8	0.006
19	1.819	1	0.724	1	0.73	0.8	0.006
20	1.819	1	0.724	1	0.73	0.8	0.006
0	0.656	1	0.724	1.1	0.73	0.8	0.005
1	1.039	1	0.724	1.1	0.73	0.8	0.004
2	1.719	1	0.724	1.1	0.73	0.8	0.005
3	1.908	1	0.724	1.1	0.73	0.8	0.006
4	1.971	1	0.724	1.1	0.73	0.8	0.006
5	1.983	1	0.724	1.1	0.73	0.8	0.004
6	1.981	1	0.724	1.1	0.73	0.8	0.005
7	1.978	1	0.724	1.1	0.73	0.8	0.007
8	1.977	1	0.724	1.1	0.73	0.8	0.005
9	1.977	1	0.724	1.1	0.73	0.8	0.007
10	1.978	1	0.724	1.1	0.73	0.8	0.005
11	1.978	1	0.724	1.1	0.73	0.8	0.005
12	1.978	1	0.724	1.1	0.73	0.8	0.005
13	1.979	1	0.724	1.1	0.73	0.8	0.006
14	1.979	1	0.724	1.1	0.73	0.8	0.005
15	1.979	1	0.724	1.1	0.73	0.8	0.008
16	1.979	1	0.724	1.1	0.73	0.8	0.005
17	1.979	1	0.724	1.1	0.73	0.8	0.006
18	1.979	1	0.724	1.1	0.73	0.8	0.008
19	1.979	1	0.724	1.1	0.73	0.8	0.006
20	1.979	1	0.724	1.1	0.73	0.8	0.005
0	0.642	1	0.724	1.2	0.73	0.8	0.005
1	0.995	1	0.724	1.2	0.73	0.8	0.004
2	1.838	1	0.724	1.2	0.73	0.8	0.005
3	2.219	1	0.724	1.2	0.73	0.8	0.005
4	2.365	1	0.724	1.2	0.73	0.8	0.005
5	2.408	1	0.724	1.2	0.73	0.8	0.005
6	2.414	1	0.724	1.2	0.73	0.8	0.005
7	2.414	1	0.724	1.2	0.73	0.8	0.005
8	2.413	1	0.724	1.2	0.73	0.8	0.005
9	2.413	1	0.724	1.2	0.73	0.8	0.005
10	2.413	1	0.724	1.2	0.73	0.8	0.005
11	2.414	1	0.724	1.2	0.73	0.8	0.004
12	2.414	1	0.724	1.2	0.73	0.8	0.005
13	2.415	1	0.724	1.2	0.73	0.8	0.005
14	2.415	1	0.724	1.2	0.73	0.8	0.006
15	2.415	1	0.724	1.2	0.73	0.8	0.005
16	2.415	1	0.724	1.2	0.73	0.8	0.006
17	2.415	1	0.724	1.2	0.73	0.8	0.005
18	2.415	1	0.724	1.2	0.73	0.8	0.006
19	2.415	1	0.724	1.2	0.73	0.8	0.005
20	2.415	1	0.724	1.2	0.73	0.8	0.005
0	0.631	1	0.724	1.3	0.73	0.8	0.005
1	0.962	1	0.724	1.3	0.73	0.8	0.005
2	1.443	1	0.724	1.3	0.73	0.8	0.004
3	1.824	1	0.724	1.3	0.73	0.8	0.005
4	2.031	1	0.724	1.3	0.73	0.8	0.004
5	2.121	1	0.724	1.3	0.73	0.8	0.005
6	2.149	1	0.724	1.3	0.73	0.8	0.004
7	2.154	1	0.724	1.3	0.73	0.8	0.006
8	2.155	1	0.724	1.3	0.73	0.8	0.005
9	2.155	1	0.724	1.3	0.73	0.8	0.005
10	2.156	1	0.724	1.3	0.73	0.8	0.004
11	2.156	1	0.724	1.3	0.73	0.8	0.004
12	2.157	1	0.724	1.3	0.73	0.8	0.004
13	2.157	1	0.724	1.3	0.73	0.8	0.005
14	2.157	1	0.724	1.3	0.73	0.8	0.005
15	2.158	1	0.724	1.3	0.73	0.8	0.004
16	2.158	1	0.724	1.3	0.73	0.8	0.006
17	2.158	1	0.724	1.3	0.73	0.8	0.006
18	2.158	1	0.724	1.3	0.73	0.8	0.006
19	2.158	1	0.724	1.3	0.73	0.8	0.006
20	2.158	1	0.724	1.3	0.73	0.8	0.005
0	0.622	1	0.724	1.4	0.73	0.8	0.004
1	0.937	1	0.724	1.4	0.73	0.8	0.005
2	1.222	1	0.724	1.4	0.73	0.8	0.004
