Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10	Var1_11	Var1_12
0	0.071	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	0.043
1	0.815	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	0.047
2	2.474	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	0.117
3	4.666	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	1.387
4	6.897	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	29.185
5	8.8	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	357.27
6	10.11	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	2245.313
7	11.151	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	7494.037
0	0.07	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	0.042
1	0.98	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	0.045
2	2.846	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	0.104
3	5.703	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	1.423
4	8.906	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	29.138
5	12.41	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	362.879
6	15.344	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	2241.725
7	18.675	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	7541.551
0	0.068	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	0.042
1	0.995	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	0.051
2	2.958	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	0.101
3	6.038	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	1.491
4	9.824	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	29.362
5	14.417	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	365.014
6	18.267	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	2247.823
7	22.28	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	7540.498
0	0.063	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	0.046
1	0.97	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	0.047
2	3.043	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	0.105
3	6.448	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	1.408
4	11.493	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	28.933
5	17.119	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	361.473
6	21.572	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	2258.33
7	26.654	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	7524.81
0	0.057	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	0.044
1	0.821	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	0.042
2	2.746	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	0.099
3	6.378	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	1.491
4	11.507	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	28.719
5	17.371	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	364.063
6	23.315	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	2260.022
7	30.057	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	7544.902
0	0.052	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	0.048
1	0.602	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	0.045
2	2.119	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	0.085
3	4.972	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	1.406
4	8.573	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	29.082
5	13.743	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	366.072
6	19.126	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	2248.148
7	25.348	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	7534.475
0	0.049	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	0.071
1	0.657	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	0.047
2	2.03	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	0.103
3	4.082	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	1.395
4	7.164	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	29.186
5	10.539	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	363.666
6	15.33	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	2258.108
7	20.591	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	7546.471
0	0.047	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	0.043
1	0.497	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	0.057
2	1.802	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	0.104
3	3.626	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	1.408
4	5.797	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	29.836
5	9.521	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	362.331
6	13.438	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	2262.481
7	17.856	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	7535.42
0	0.045	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	0.047
1	0.427	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	0.052
2	1.445	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	0.083
3	2.908	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	1.416
4	4.74	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	28.619
5	7.431	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	366.503
6	10.631	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	2248.103
7	13.738	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	7524.764
0	0.044	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	0.042
1	0.454	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	0.044
2	1.657	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	0.117
3	3.153	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	1.496
4	4.646	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	30.669
5	5.983	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	365.657
6	7.09	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	2260.211
7	8.23	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	7560.877
0	0.043	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	0.041
1	0.366	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	0.054
2	1.006	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	0.104
3	1.717	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	1.404
4	2.343	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	29.59
5	3	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	364.257
6	3.772	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	2260.252
7	4.459	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	7517.824
0	0.043	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	0.042
1	0.316	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	0.044
2	0.755	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	0.12
3	1.375	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	1.43
4	2.055	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	29.286
5	2.654	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	360.662
6	3.266	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	2256.873
7	3.763	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	7516.128
0	0.042	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	0.04
1	0.507	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	0.042
2	1.426	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	0.103
3	2.381	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	1.384
4	3.206	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	29.876
5	3.851	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	361.527
6	4.425	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	2260.333
7	4.827	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	7518.718
0	0.041	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	0.046
1	0.287	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	0.045
2	0.896	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	0.104
3	1.463	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	1.418
4	2.143	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	28.781
5	2.694	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	365.154
6	3.066	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	2248.973
7	3.383	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	7528.865
0	0.04	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	0.059
1	0.272	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	0.044
2	0.605	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	0.118
3	1.019	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	1.327
4	1.308	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	29.672
5	1.544	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	356.484
6	1.723	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	2257.676
7	1.857	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	7534.707
