Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10
13	7.082	3	0.707	1.2	1.28	0.6	1.1	0.9	13.651
14	7.099	3	0.707	1.2	1.28	0.6	1.1	0.9	28.252
15	7.091	3	0.707	1.2	1.28	0.6	1.1	0.9	41.787
16	7.093	3	0.707	1.2	1.28	0.6	1.1	0.9	42.194
17	7.094	3	0.707	1.2	1.28	0.6	1.1	0.9	42.48
18	7.094	3	0.707	1.2	1.28	0.6	1.1	0.9	43.266
19	7.097	3	0.707	1.2	1.28	0.6	1.1	0.9	42.836
20	7.095	3	0.707	1.2	1.28	0.6	1.1	0.9	42.898
0	0.203	3	0.707	1.4	1.28	0.6	1.1	0.9	0.025
1	0.976	3	0.707	1.4	1.28	0.6	1.1	0.9	0.034
2	2.034	3	0.707	1.4	1.28	0.6	1.1	0.9	0.023
3	2.879	3	0.707	1.4	1.28	0.6	1.1	0.9	0.041
4	3.639	3	0.707	1.4	1.28	0.6	1.1	0.9	0.032
5	4.158	3	0.707	1.4	1.28	0.6	1.1	0.9	0.059
6	4.546	3	0.707	1.4	1.28	0.6	1.1	0.9	0.108
7	4.734	3	0.707	1.4	1.28	0.6	1.1	0.9	0.224
8	4.836	3	0.707	1.4	1.28	0.6	1.1	0.9	0.501
9	4.919	3	0.707	1.4	1.28	0.6	1.1	0.9	1.128
10	4.987	3	0.707	1.4	1.28	0.6	1.1	0.9	2.44
11	4.997	3	0.707	1.4	1.28	0.6	1.1	0.9	4.882
12	5.001	3	0.707	1.4	1.28	0.6	1.1	0.9	9.559
13	5.014	3	0.707	1.4	1.28	0.6	1.1	0.9	13.714
14	5.014	3	0.707	1.4	1.28	0.6	1.1	0.9	27.61
15	5.019	3	0.707	1.4	1.28	0.6	1.1	0.9	42.053
16	5.021	3	0.707	1.4	1.28	0.6	1.1	0.9	42.109
17	5.016	3	0.707	1.4	1.28	0.6	1.1	0.9	42.075
18	5.02	3	0.707	1.4	1.28	0.6	1.1	0.9	42.413
19	5.017	3	0.707	1.4	1.28	0.6	1.1	0.9	43.061
20	5.022	3	0.707	1.4	1.28	0.6	1.1	0.9	43.109
0	0.198	3	0.707	1.5	1.28	0.6	1.1	0.9	0.022
1	0.804	3	0.707	1.5	1.28	0.6	1.1	0.9	0.034
2	1.535	3	0.707	1.5	1.28	0.6	1.1	0.9	0.022
3	2.394	3	0.707	1.5	1.28	0.6	1.1	0.9	0.027
4	2.912	3	0.707	1.5	1.28	0.6	1.1	0.9	0.037
5	3.449	3	0.707	1.5	1.28	0.6	1.1	0.9	0.064
6	3.702	3	0.707	1.5	1.28	0.6	1.1	0.9	0.126
7	3.917	3	0.707	1.5	1.28	0.6	1.1	0.9	0.224
8	4.039	3	0.707	1.5	1.28	0.6	1.1	0.9	0.5
9	4.118	3	0.707	1.5	1.28	0.6	1.1	0.9	1.118
